number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50,1,10,0.5,0.5,3,99,2,20,142
50,1,10,0.5,0.5,3,100,1,3,159
50,1,10,0.5,0.5,3,100,1,3,159
50,1,10,0.5,0.5,3,101,0,2,160
50,1,10,0.5,0.5,3,104,1,11,151
50,1,10,0.5,0.5,3,100,1,4,158
50,1,10,0.5,0.5,3,100,1,19,143
50,1,10,0.5,0.5,3,100,1,9,153
50,1,10,0.5,0.5,3,101,0,1,161
50,1,10,0.5,0.5,3,104,1,35,127
50,1,10,0.5,0.5,3,98,3,4,158
50,1,10,0.5,0.5,3,100,1,2,160
50,1,10,0.5,0.5,3,100,1,3,159
50,1,10,0.5,0.5,3,101,0,8,154
50,1,10,0.5,0.5,3,104,1,3,159
50,2,10,0.5,0.5,3,100,1,4,158
50,2,10,0.5,0.5,3,100,1,2,160
50,2,10,0.5,0.5,3,100,1,3,159
50,2,10,0.5,0.5,3,101,0,2,160
50,2,10,0.5,0.5,3,104,1,3,159
50,2,10,0.5,0.5,3,100,1,4,158
50,2,10,0.5,0.5,3,100,1,2,160
50,2,10,0.5,0.5,3,100,1,3,159
50,2,10,0.5,0.5,3,101,0,2,160
50,2,10,0.5,0.5,3,104,1,3,159
50,2,10,0.5,0.5,3,100,1,6,156
50,2,10,0.5,0.5,3,100,1,2,160
50,2,10,0.5,0.5,3,100,1,3,159
50,2,10,0.5,0.5,3,101,0,2,160
50,2,10,0.5,0.5,3,104,1,3,159
50,5,10,0.5,0.5,3,100,1,4,158
50,5,10,0.5,0.5,3,100,1,2,160
50,5,10,0.5,0.5,3,100,1,3,159
50,5,10,0.5,0.5,3,100,1,2,160
50,5,10,0.5,0.5,3,104,1,3,159
50,5,10,0.5,0.5,3,100,1,4,158
50,5,10,0.5,0.5,3,100,1,2,160
50,5,10,0.5,0.5,3,100,1,3,159
50,5,10,0.5,0.5,3,101,0,2,160
50,5,10,0.5,0.5,3,104,1,3,159
50,5,10,0.5,0.5,3,100,1,4,158
50,5,10,0.5,0.5,3,100,1,2,160
50,5,10,0.5,0.5,3,100,1,3,159
50,5,10,0.5,0.5,3,101,0,2,160
50,5,10,0.5,0.5,3,104,1,3,159
50,10,10,0.5,0.5,3,99,2,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,103,2,3,159
50,10,10,0.5,0.5,3,99,2,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,104,1,3,159
50,10,10,0.5,0.5,3,100,1,4,158
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,103,2,3,159
50,15,10,0.5,0.5,3,100,1,3,159
50,15,10,0.5,0.5,3,100,1,1,161
50,15,10,0.5,0.5,3,100,1,3,159
50,15,10,0.5,0.5,3,100,1,2,160
50,15,10,0.5,0.5,3,103,2,3,159
50,15,10,0.5,0.5,3,100,1,4,158
50,15,10,0.5,0.5,3,100,1,1,161
50,15,10,0.5,0.5,3,100,1,3,159
50,15,10,0.5,0.5,3,100,1,2,160
50,15,10,0.5,0.5,3,103,2,3,159
50,15,10,0.5,0.5,3,100,1,3,159
50,15,10,0.5,0.5,3,100,1,1,161
50,15,10,0.5,0.5,3,100,1,3,159
50,15,10,0.5,0.5,3,100,1,2,160
50,15,10,0.5,0.5,3,103,2,3,159
50,25,10,0.5,0.5,3,99,2,3,159
50,25,10,0.5,0.5,3,100,1,2,160
50,25,10,0.5,0.5,3,100,1,3,159
50,25,10,0.5,0.5,3,100,1,2,160
50,25,10,0.5,0.5,3,103,2,3,159
50,25,10,0.5,0.5,3,99,2,3,159
50,25,10,0.5,0.5,3,100,1,1,161
50,25,10,0.5,0.5,3,100,1,3,159
50,25,10,0.5,0.5,3,100,1,2,160
50,25,10,0.5,0.5,3,103,2,3,159
50,25,10,0.5,0.5,3,100,1,3,159
50,25,10,0.5,0.5,3,100,1,1,161
50,25,10,0.5,0.5,3,100,1,3,159
50,25,10,0.5,0.5,3,100,1,2,160
50,25,10,0.5,0.5,3,104,1,3,159
50,50,10,0.5,0.5,3,100,1,3,159
50,50,10,0.5,0.5,3,100,1,2,160
50,50,10,0.5,0.5,3,100,1,3,159
50,50,10,0.5,0.5,3,100,1,1,161
50,50,10,0.5,0.5,3,103,2,3,159
50,50,10,0.5,0.5,3,99,2,3,159
50,50,10,0.5,0.5,3,100,1,1,161
50,50,10,0.5,0.5,3,100,1,3,159
50,50,10,0.5,0.5,3,100,1,2,160
50,50,10,0.5,0.5,3,103,2,3,159
50,50,10,0.5,0.5,3,99,2,3,159
50,50,10,0.5,0.5,3,100,1,1,161
50,50,10,0.5,0.5,3,100,1,3,159
50,50,10,0.5,0.5,3,100,1,2,160
50,50,10,0.5,0.5,3,103,2,3,159
50,100,10,0.5,0.5,3,98,3,3,159
50,100,10,0.5,0.5,3,100,1,1,161
50,100,10,0.5,0.5,3,100,1,3,159
50,100,10,0.5,0.5,3,100,1,2,160
50,100,10,0.5,0.5,3,103,2,3,159
50,100,10,0.5,0.5,3,99,2,4,158
50,100,10,0.5,0.5,3,100,1,2,160
50,100,10,0.5,0.5,3,100,1,3,159
50,100,10,0.5,0.5,3,100,1,2,160
50,100,10,0.5,0.5,3,103,2,3,159
50,100,10,0.5,0.5,3,100,1,4,158
50,100,10,0.5,0.5,3,100,1,1,161
50,100,10,0.5,0.5,3,100,1,3,159
50,100,10,0.5,0.5,3,101,0,2,160
50,100,10,0.5,0.5,3,103,2,3,159
