number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,1,10,0.5,0.5,3,0,0,1,1,0,0,0,0,4,6,0,0,0,0,102,34,0,0,0,0,54,73,0,0,0,0,4,35,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,107,29,0,0,0,0,49,78,0,0,0,0,6,33,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,95,41,0,0,0,0,48,79,0,0,0,0,2,37,0,0,0,0,1,2,0,0
50,1,10,0.5,0.5,3,0,0,1,1,0,0,0,0,8,2,0,0,0,0,100,36,0,0,0,0,58,69,0,0,0,0,5,34,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,1,1,0,0,0,0,9,4,0,0,0,0,114,23,0,0,0,0,62,68,0,0,0,0,8,35,0,0,0,0,1,5,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,114,22,0,0,0,0,65,62,0,0,0,0,6,33,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,109,27,0,0,0,0,54,73,0,0,0,0,6,33,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,92,44,0,0,0,0,50,77,0,0,0,0,2,37,0,0,0,0,1,2,0,0
50,1,10,0.5,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,100,36,0,0,0,0,59,68,0,0,0,0,5,34,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,1,1,0,0,0,0,9,4,0,0,0,0,111,26,0,0,0,0,51,79,0,0,0,0,6,37,0,0,0,0,0,6,0,0
50,1,10,0.5,0.5,3,0,0,1,1,0,0,0,0,4,6,0,0,0,0,101,35,0,0,0,0,53,74,0,0,0,0,3,36,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,110,26,0,0,0,0,48,79,0,0,0,0,5,34,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,93,43,0,0,0,0,49,78,0,0,0,0,2,37,0,0,0,0,1,2,0,0
50,1,10,0.5,0.5,3,0,0,1,1,0,0,0,0,8,2,0,0,0,0,101,35,0,0,0,0,54,73,0,0,0,0,5,34,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,1,1,0,0,0,0,9,4,0,0,0,0,108,29,0,0,0,0,48,82,0,0,0,0,6,37,0,0,0,0,0,6,0,0
50,2,10,0.5,0.5,3,0,0,1,1,0,0,0,0,4,6,0,0,0,0,103,33,0,0,0,0,52,75,0,0,0,0,3,36,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,106,30,0,0,0,0,41,86,0,0,0,0,2,37,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,98,38,0,0,0,0,48,79,0,0,0,0,1,38,0,0,0,0,1,2,0,0
50,2,10,0.5,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,100,36,0,0,0,0,55,72,0,0,0,0,5,34,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,102,35,0,0,0,0,46,84,0,0,0,0,4,39,0,0,0,0,0,6,0,0
50,2,10,0.5,0.5,3,0,0,1,1,0,0,0,0,5,5,0,0,0,0,103,33,0,0,0,0,52,75,0,0,0,0,3,36,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,106,30,0,0,0,0,38,89,0,0,0,0,1,38,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,93,43,0,0,0,0,49,78,0,0,0,0,2,37,0,0,0,0,1,2,0,0
50,2,10,0.5,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,100,36,0,0,0,0,55,72,0,0,0,0,5,34,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,1,1,0,0,0,0,9,4,0,0,0,0,111,26,0,0,0,0,51,79,0,0,0,0,7,36,0,0,0,0,0,6,0,0
50,2,10,0.5,0.5,3,0,0,1,1,0,0,0,0,5,5,0,0,0,0,103,33,0,0,0,0,51,76,0,0,0,0,3,36,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,107,29,0,0,0,0,46,81,0,0,0,0,1,38,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,91,45,0,0,0,0,47,80,0,0,0,0,2,37,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,103,33,0,0,0,0,61,66,0,0,0,0,5,34,0,0,0,0,0,3,0,0
50,2,10,0.5,0.5,3,0,0,1,1,0,0,0,0,9,4,0,0,0,0,105,32,0,0,0,0,47,83,0,0,0,0,6,37,0,0,0,0,0,6,0,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,3,7,0,0,0,0,103,33,0,0,0,0,42,84,1,0,0,0,2,30,7,0,0,0,0,2,1,0
50,5,10,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,107,28,1,0,0,0,35,83,9,0,0,0,0,27,12,0,0,0,0,2,1,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,92,44,0,0,0,0,39,87,1,0,0,0,0,24,15,0,0,0,0,3,0,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,99,36,1,0,0,0,43,79,5,0,0,0,1,31,7,0,0,0,0,2,1,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,104,33,0,0,0,0,37,81,12,0,0,0,4,25,14,0,0,0,0,5,1,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,105,30,1,0,0,0,43,83,1,0,0,0,2,30,7,0,0,0,0,3,0,0
50,5,10,0.5,0.5,3,0,0,0,2,0,0,0,0,6,4,0,0,0,0,106,30,0,0,0,0,36,86,5,0,0,0,0,29,10,0,0,0,0,2,1,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,94,42,0,0,0,0,39,88,0,0,0,0,0,27,12,0,0,0,0,3,0,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,94,42,0,0,0,0,43,79,5,0,0,0,1,30,8,0,0,0,0,2,1,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,11,2,0,0,0,0,107,30,0,0,0,0,40,84,6,0,0,0,5,24,14,0,0,0,0,5,1,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,106,29,1,0,0,0,44,79,4,0,0,0,3,27,9,0,0,0,0,3,0,0
50,5,10,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,104,31,1,0,0,0,34,84,9,0,0,0,0,31,8,0,0,0,0,2,1,0
50,5,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,98,38,0,0,0,0,37,88,2,0,0,0,1,24,14,0,0,0,0,2,1,0
