number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,10,10,0.5,0.1,3,498,2,197,303
50,10,10,0.5,0.1,3,497,3,59,441
50,10,10,0.5,0.1,3,497,3,84,416
50,10,10,0.5,0.1,3,500,0,91,409
50,10,10,0.5,0.1,3,497,3,42,458
50,10,10,0.5,0.1,3,499,1,70,430
50,10,10,0.5,0.1,3,497,3,55,445
50,10,10,0.5,0.1,3,500,0,80,420
50,10,10,0.5,0.1,3,499,1,63,437
50,10,10,0.5,0.1,3,498,2,67,433
50,10,10,0.5,0.1,3,494,6,47,453
50,10,10,0.5,0.1,3,493,7,58,442
50,10,10,0.5,0.1,3,500,1,190,310
50,10,10,0.5,0.1,3,497,4,36,464
50,10,10,0.5,0.1,3,499,2,77,423
50,10,10,0.5,0.2,3,497,3,57,443
50,10,10,0.5,0.2,3,487,13,58,442
50,10,10,0.5,0.2,3,499,1,84,416
50,10,10,0.5,0.2,3,499,1,128,372
50,10,10,0.5,0.2,3,496,4,89,411
50,10,10,0.5,0.2,3,500,0,92,408
50,10,10,0.5,0.2,3,500,0,52,448
50,10,10,0.5,0.2,3,494,6,38,462
50,10,10,0.5,0.2,3,500,0,64,436
50,10,10,0.5,0.2,3,492,8,71,429
50,10,10,0.5,0.2,3,488,12,25,475
50,10,10,0.5,0.2,3,496,4,79,421
50,10,10,0.5,0.2,3,497,4,23,477
50,10,10,0.5,0.2,3,497,4,48,452
50,10,10,0.5,0.2,3,499,2,50,450
50,10,10,0.5,0.3,3,483,17,18,482
50,10,10,0.5,0.3,3,492,8,25,475
50,10,10,0.5,0.3,3,494,6,23,477
50,10,10,0.5,0.3,3,498,2,16,484
50,10,10,0.5,0.3,3,496,4,19,481
50,10,10,0.5,0.3,3,492,8,17,483
50,10,10,0.5,0.3,3,488,12,8,492
50,10,10,0.5,0.3,3,487,13,10,490
50,10,10,0.5,0.3,3,494,6,20,480
50,10,10,0.5,0.3,3,474,26,18,482
50,10,10,0.5,0.3,3,474,26,17,483
50,10,10,0.5,0.3,3,485,15,21,479
50,10,10,0.5,0.3,3,494,7,19,481
50,10,10,0.5,0.3,3,486,15,16,484
50,10,10,0.5,0.3,3,485,16,17,483
50,10,10,0.5,0.4,3,485,15,17,483
50,10,10,0.5,0.4,3,494,6,22,478
50,10,10,0.5,0.4,3,477,23,14,486
50,10,10,0.5,0.4,3,493,7,17,483
50,10,10,0.5,0.4,3,495,5,17,483
50,10,10,0.5,0.4,3,497,3,22,478
50,10,10,0.5,0.4,3,473,27,4,496
50,10,10,0.5,0.4,3,485,15,11,489
50,10,10,0.5,0.4,3,489,11,15,485
50,10,10,0.5,0.4,3,490,10,24,476
50,10,10,0.5,0.4,3,471,29,17,483
50,10,10,0.5,0.4,3,471,29,17,483
50,10,10,0.5,0.4,3,483,18,13,487
50,10,10,0.5,0.4,3,485,16,12,488
50,10,10,0.5,0.4,3,496,5,21,479
50,10,10,0.5,0.5,3,488,12,26,474
50,10,10,0.5,0.5,3,490,10,27,473
50,10,10,0.5,0.5,3,495,5,24,476
50,10,10,0.5,0.5,3,494,6,11,489
50,10,10,0.5,0.5,3,491,9,14,486
50,10,10,0.5,0.5,3,492,8,9,491
