number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,1,10,0.5,0.5,3,487,13,30,470
50,1,10,0.5,0.5,3,495,5,27,473
50,1,10,0.5,0.5,3,493,7,29,471
50,1,10,0.5,0.5,3,489,11,18,482
50,1,10,0.5,0.5,3,486,14,14,486
50,1,10,0.5,0.5,3,490,10,21,479
50,1,10,0.5,0.5,3,477,23,6,494
50,1,10,0.5,0.5,3,487,13,18,482
50,1,10,0.5,0.5,3,483,17,11,489
50,1,10,0.5,0.5,3,472,28,19,481
50,1,10,0.5,0.5,3,486,14,21,479
50,1,10,0.5,0.5,3,476,24,22,478
50,1,10,0.5,0.5,3,474,27,12,488
50,1,10,0.5,0.5,3,494,7,28,472
50,1,10,0.5,0.5,3,487,14,17,483
50,2,10,0.5,0.5,3,490,10,25,475
50,2,10,0.5,0.5,3,493,7,27,473
50,2,10,0.5,0.5,3,495,5,40,460
50,2,10,0.5,0.5,3,493,7,18,482
50,2,10,0.5,0.5,3,498,2,31,469
50,2,10,0.5,0.5,3,493,7,17,483
50,2,10,0.5,0.5,3,494,6,17,483
50,2,10,0.5,0.5,3,492,8,19,481
50,2,10,0.5,0.5,3,488,12,13,487
50,2,10,0.5,0.5,3,491,9,26,474
50,2,10,0.5,0.5,3,485,15,19,481
50,2,10,0.5,0.5,3,492,8,23,477
50,2,10,0.5,0.5,3,496,5,21,479
50,2,10,0.5,0.5,3,497,4,22,478
50,2,10,0.5,0.5,3,488,13,19,481
50,5,10,0.5,0.5,3,489,11,19,481
50,5,10,0.5,0.5,3,496,4,24,476
50,5,10,0.5,0.5,3,494,6,27,473
50,5,10,0.5,0.5,3,495,5,15,485
50,5,10,0.5,0.5,3,498,2,14,486
50,5,10,0.5,0.5,3,498,2,17,483
50,5,10,0.5,0.5,3,495,5,15,485
50,5,10,0.5,0.5,3,485,15,6,494
50,5,10,0.5,0.5,3,492,8,14,486
50,5,10,0.5,0.5,3,491,9,20,480
50,5,10,0.5,0.5,3,495,5,27,473
50,5,10,0.5,0.5,3,488,12,23,477
50,5,10,0.5,0.5,3,492,9,16,484
50,5,10,0.5,0.5,3,493,8,19,481
50,5,10,0.5,0.5,3,487,14,17,483
50,10,10,0.5,0.5,3,495,5,24,476
50,10,10,0.5,0.5,3,494,6,27,473
50,10,10,0.5,0.5,3,494,6,26,474
50,10,10,0.5,0.5,3,496,4,11,489
50,10,10,0.5,0.5,3,492,8,16,484
50,10,10,0.5,0.5,3,492,8,18,482
50,10,10,0.5,0.5,3,497,3,10,490
50,10,10,0.5,0.5,3,487,13,9,491
50,10,10,0.5,0.5,3,492,8,13,487
50,10,10,0.5,0.5,3,486,14,17,483
50,10,10,0.5,0.5,3,482,18,20,480
50,10,10,0.5,0.5,3,483,17,21,479
50,10,10,0.5,0.5,3,494,7,16,484
50,10,10,0.5,0.5,3,496,5,19,481
50,10,10,0.5,0.5,3,490,11,14,486
50,15,10,0.5,0.5,3,495,5,27,473
50,15,10,0.5,0.5,3,494,6,23,477
50,15,10,0.5,0.5,3,492,8,22,478
50,15,10,0.5,0.5,3,491,9,16,484
50,15,10,0.5,0.5,3,497,3,12,488
50,15,10,0.5,0.5,3,497,3,12,488
50,15,10,0.5,0.5,3,494,6,12,488
50,15,10,0.5,0.5,3,488,12,11,489
50,15,10,0.5,0.5,3,494,6,12,488
50,15,10,0.5,0.5,3,488,12,21,479
50,15,10,0.5,0.5,3,478,22,21,479
50,15,10,0.5,0.5,3,483,17,16,484
50,15,10,0.5,0.5,3,496,5,19,481
50,15,10,0.5,0.5,3,483,18,16,484
50,15,10,0.5,0.5,3,492,9,18,482
50,25,10,0.5,0.5,3,489,11,25,475
50,25,10,0.5,0.5,3,486,14,19,481
50,25,10,0.5,0.5,3,494,6,25,475
50,25,10,0.5,0.5,3,491,9,9,491
50,25,10,0.5,0.5,3,493,7,25,475
50,25,10,0.5,0.5,3,488,12,16,484
50,25,10,0.5,0.5,3,491,9,12,488
50,25,10,0.5,0.5,3,488,12,9,491
50,25,10,0.5,0.5,3,488,12,11,489
50,25,10,0.5,0.5,3,481,19,21,479
50,25,10,0.5,0.5,3,482,18,17,483
50,25,10,0.5,0.5,3,488,12,22,478
50,25,10,0.5,0.5,3,484,17,18,482
50,25,10,0.5,0.5,3,490,11,16,484
50,25,10,0.5,0.5,3,493,8,19,481
50,50,10,0.5,0.5,3,489,11,23,477
50,50,10,0.5,0.5,3,492,8,28,472
50,50,10,0.5,0.5,3,485,15,21,479
50,50,10,0.5,0.5,3,496,4,14,486
50,50,10,0.5,0.5,3,495,5,18,482
50,50,10,0.5,0.5,3,499,1,14,486
50,50,10,0.5,0.5,3,485,15,7,493
50,50,10,0.5,0.5,3,490,10,13,487
50,50,10,0.5,0.5,3,483,17,5,495
50,50,10,0.5,0.5,3,484,16,18,482
50,50,10,0.5,0.5,3,483,17,23,477
50,50,10,0.5,0.5,3,488,12,23,477
50,50,10,0.5,0.5,3,483,18,15,485
50,50,10,0.5,0.5,3,483,18,14,486
50,50,10,0.5,0.5,3,486,15,15,485
50,100,10,0.5,0.5,3,492,8,24,476
50,100,10,0.5,0.5,3,489,11,25,475
50,100,10,0.5,0.5,3,481,19,20,480
50,100,10,0.5,0.5,3,495,5,13,487
50,100,10,0.5,0.5,3,494,6,13,487
50,100,10,0.5,0.5,3,497,3,12,488
50,100,10,0.5,0.5,3,489,11,15,485
50,100,10,0.5,0.5,3,491,9,14,486
50,100,10,0.5,0.5,3,491,9,13,487
50,100,10,0.5,0.5,3,492,8,22,478
50,100,10,0.5,0.5,3,490,10,21,479
50,100,10,0.5,0.5,3,480,20,19,481
50,100,10,0.5,0.5,3,491,10,17,483
50,100,10,0.5,0.5,3,488,13,18,482
50,100,10,0.5,0.5,3,495,6,18,482
