number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
1,10,10,0.5,0.5,3,481,19,116,384
1,10,10,0.5,0.5,3,473,27,66,434
1,10,10,0.5,0.5,3,456,44,52,448
1,10,10,0.5,0.5,3,450,50,62,438
1,10,10,0.5,0.5,3,442,58,44,456
1,10,10,0.5,0.5,3,462,38,64,436
1,10,10,0.5,0.5,3,441,59,42,458
1,10,10,0.5,0.5,3,456,44,49,451
1,10,10,0.5,0.5,3,473,27,56,444
1,10,10,0.5,0.5,3,430,70,41,459
1,10,10,0.5,0.5,3,434,66,69,431
1,10,10,0.5,0.5,3,469,31,26,474
1,10,10,0.5,0.5,3,492,9,106,394
1,10,10,0.5,0.5,3,475,26,60,440
1,10,10,0.5,0.5,3,447,54,52,448
3,10,10,0.5,0.5,3,490,10,50,450
3,10,10,0.5,0.5,3,494,6,67,433
3,10,10,0.5,0.5,3,476,24,44,456
3,10,10,0.5,0.5,3,492,8,16,484
3,10,10,0.5,0.5,3,480,20,26,474
3,10,10,0.5,0.5,3,479,21,34,466
3,10,10,0.5,0.5,3,477,23,20,480
3,10,10,0.5,0.5,3,494,6,66,434
3,10,10,0.5,0.5,3,472,28,37,463
3,10,10,0.5,0.5,3,440,60,66,434
3,10,10,0.5,0.5,3,459,41,56,444
3,10,10,0.5,0.5,3,468,32,17,483
3,10,10,0.5,0.5,3,428,73,23,477
3,10,10,0.5,0.5,3,471,30,56,444
3,10,10,0.5,0.5,3,431,70,58,442
5,10,10,0.5,0.5,3,487,13,23,477
5,10,10,0.5,0.5,3,480,20,36,464
5,10,10,0.5,0.5,3,493,7,50,450
5,10,10,0.5,0.5,3,455,45,33,467
5,10,10,0.5,0.5,3,482,18,24,476
5,10,10,0.5,0.5,3,477,23,37,463
5,10,10,0.5,0.5,3,486,14,18,482
5,10,10,0.5,0.5,3,485,15,22,478
5,10,10,0.5,0.5,3,439,61,29,471
5,10,10,0.5,0.5,3,481,19,21,479
5,10,10,0.5,0.5,3,459,41,37,463
5,10,10,0.5,0.5,3,464,36,41,459
5,10,10,0.5,0.5,3,471,30,32,468
5,10,10,0.5,0.5,3,484,17,22,478
5,10,10,0.5,0.5,3,494,7,20,480
10,10,10,0.5,0.5,3,491,9,25,475
10,10,10,0.5,0.5,3,489,11,25,475
10,10,10,0.5,0.5,3,492,8,28,472
10,10,10,0.5,0.5,3,487,13,15,485
10,10,10,0.5,0.5,3,490,10,27,473
10,10,10,0.5,0.5,3,481,19,29,471
10,10,10,0.5,0.5,3,486,14,11,489
10,10,10,0.5,0.5,3,478,22,23,477
10,10,10,0.5,0.5,3,488,12,20,480
10,10,10,0.5,0.5,3,483,17,15,485
10,10,10,0.5,0.5,3,473,27,42,458
10,10,10,0.5,0.5,3,485,15,24,476
10,10,10,0.5,0.5,3,477,24,16,484
10,10,10,0.5,0.5,3,479,22,15,485
10,10,10,0.5,0.5,3,480,21,28,472
15,10,10,0.5,0.5,3,488,12,23,477
15,10,10,0.5,0.5,3,487,13,26,474
15,10,10,0.5,0.5,3,469,31,8,492
15,10,10,0.5,0.5,3,484,16,25,475
15,10,10,0.5,0.5,3,487,13,15,485
15,10,10,0.5,0.5,3,488,12,15,485
15,10,10,0.5,0.5,3,485,15,10,490
15,10,10,0.5,0.5,3,490,10,13,487
15,10,10,0.5,0.5,3,487,13,13,487
15,10,10,0.5,0.5,3,476,24,20,480
15,10,10,0.5,0.5,3,485,15,37,463
15,10,10,0.5,0.5,3,466,34,36,464
15,10,10,0.5,0.5,3,488,13,28,472
15,10,10,0.5,0.5,3,481,20,18,482
15,10,10,0.5,0.5,3,475,26,27,473
25,10,10,0.5,0.5,3,482,18,14,486
25,10,10,0.5,0.5,3,489,11,30,470
25,10,10,0.5,0.5,3,490,10,24,476
25,10,10,0.5,0.5,3,492,8,18,482
25,10,10,0.5,0.5,3,490,10,18,482
25,10,10,0.5,0.5,3,483,17,8,492
25,10,10,0.5,0.5,3,494,6,12,488
25,10,10,0.5,0.5,3,485,15,9,491
25,10,10,0.5,0.5,3,486,14,15,485
25,10,10,0.5,0.5,3,490,10,33,467
25,10,10,0.5,0.5,3,491,9,22,478
25,10,10,0.5,0.5,3,491,9,20,480
25,10,10,0.5,0.5,3,489,12,15,485
25,10,10,0.5,0.5,3,482,19,16,484
25,10,10,0.5,0.5,3,485,16,14,486
50,10,10,0.5,0.5,3,482,18,16,484
50,10,10,0.5,0.5,3,494,6,23,477
50,10,10,0.5,0.5,3,493,7,26,474
50,10,10,0.5,0.5,3,495,5,14,486
50,10,10,0.5,0.5,3,498,2,15,485
50,10,10,0.5,0.5,3,493,7,15,485
50,10,10,0.5,0.5,3,490,10,11,489
50,10,10,0.5,0.5,3,486,14,12,488
50,10,10,0.5,0.5,3,493,7,8,492
50,10,10,0.5,0.5,3,489,11,22,478
50,10,10,0.5,0.5,3,485,15,18,482
50,10,10,0.5,0.5,3,487,13,18,482
50,10,10,0.5,0.5,3,490,11,17,483
50,10,10,0.5,0.5,3,482,19,14,486
50,10,10,0.5,0.5,3,489,12,14,486
100,10,10,0.5,0.5,3,494,6,24,476
100,10,10,0.5,0.5,3,494,6,26,474
100,10,10,0.5,0.5,3,495,5,22,478
100,10,10,0.5,0.5,3,497,3,15,485
100,10,10,0.5,0.5,3,498,2,17,483
100,10,10,0.5,0.5,3,496,4,16,484
100,10,10,0.5,0.5,3,490,10,11,489
100,10,10,0.5,0.5,3,494,6,14,486
100,10,10,0.5,0.5,3,495,5,15,485
100,10,10,0.5,0.5,3,488,12,20,480
100,10,10,0.5,0.5,3,485,15,20,480
100,10,10,0.5,0.5,3,484,16,19,481
100,10,10,0.5,0.5,3,490,11,18,482
100,10,10,0.5,0.5,3,492,9,19,481
100,10,10,0.5,0.5,3,493,8,19,481
200,10,10,0.5,0.5,3,492,8,24,476
200,10,10,0.5,0.5,3,495,5,24,476
200,10,10,0.5,0.5,3,496,4,26,474
200,10,10,0.5,0.5,3,494,6,16,484
200,10,10,0.5,0.5,3,494,6,18,482
200,10,10,0.5,0.5,3,495,5,17,483
200,10,10,0.5,0.5,3,495,5,12,488
200,10,10,0.5,0.5,3,493,7,10,490
200,10,10,0.5,0.5,3,495,5,10,490
200,10,10,0.5,0.5,3,489,11,22,478
200,10,10,0.5,0.5,3,490,10,24,476
200,10,10,0.5,0.5,3,489,11,18,482
200,10,10,0.5,0.5,3,494,7,18,482
200,10,10,0.5,0.5,3,495,6,18,482
200,10,10,0.5,0.5,3,495,6,18,482
500,10,10,0.5,0.5,3,496,4,27,473
500,10,10,0.5,0.5,3,495,5,26,474
500,10,10,0.5,0.5,3,495,5,26,474
500,10,10,0.5,0.5,3,494,6,17,483
500,10,10,0.5,0.5,3,497,3,17,483
500,10,10,0.5,0.5,3,493,7,16,484
500,10,10,0.5,0.5,3,495,5,13,487
500,10,10,0.5,0.5,3,495,5,13,487
500,10,10,0.5,0.5,3,496,4,14,486
500,10,10,0.5,0.5,3,492,8,22,478
500,10,10,0.5,0.5,3,493,7,22,478
500,10,10,0.5,0.5,3,490,10,21,479
500,10,10,0.5,0.5,3,496,5,19,481
500,10,10,0.5,0.5,3,495,6,18,482
500,10,10,0.5,0.5,3,496,5,18,482
750,10,10,0.5,0.5,3,496,4,27,473
750,10,10,0.5,0.5,3,496,4,25,475
750,10,10,0.5,0.5,3,496,4,26,474
750,10,10,0.5,0.5,3,495,5,15,485
750,10,10,0.5,0.5,3,496,4,16,484
750,10,10,0.5,0.5,3,496,4,16,484
750,10,10,0.5,0.5,3,493,7,14,486
750,10,10,0.5,0.5,3,494,6,14,486
750,10,10,0.5,0.5,3,495,5,14,486
750,10,10,0.5,0.5,3,491,9,21,479
750,10,10,0.5,0.5,3,490,10,22,478
750,10,10,0.5,0.5,3,491,9,22,478
750,10,10,0.5,0.5,3,495,6,18,482
750,10,10,0.5,0.5,3,494,7,18,482
750,10,10,0.5,0.5,3,494,7,18,482
