number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,10,10,0.0,0.5,3,486,14,20,480
50,10,10,0.0,0.5,3,496,4,26,474
50,10,10,0.0,0.5,3,479,21,18,482
50,10,10,0.0,0.5,3,499,1,16,484
50,10,10,0.0,0.5,3,496,4,17,483
50,10,10,0.0,0.5,3,496,4,16,484
50,10,10,0.0,0.5,3,495,5,11,489
50,10,10,0.0,0.5,3,487,13,9,491
50,10,10,0.0,0.5,3,484,16,11,489
50,10,10,0.0,0.5,3,485,15,19,481
50,10,10,0.0,0.5,3,482,18,20,480
50,10,10,0.0,0.5,3,489,11,21,479
50,10,10,0.0,0.5,3,494,7,19,481
50,10,10,0.0,0.5,3,485,16,17,483
50,10,10,0.0,0.5,3,486,15,18,482
50,10,10,0.25,0.5,3,490,10,23,477
50,10,10,0.25,0.5,3,486,14,20,480
50,10,10,0.25,0.5,3,492,8,20,480
50,10,10,0.25,0.5,3,491,9,16,484
50,10,10,0.25,0.5,3,495,5,16,484
50,10,10,0.25,0.5,3,493,7,15,485
50,10,10,0.25,0.5,3,494,6,10,490
50,10,10,0.25,0.5,3,493,7,13,487
50,10,10,0.25,0.5,3,493,7,13,487
50,10,10,0.25,0.5,3,483,17,21,479
50,10,10,0.25,0.5,3,486,14,19,481
50,10,10,0.25,0.5,3,487,13,22,478
50,10,10,0.25,0.5,3,489,12,18,482
50,10,10,0.25,0.5,3,491,10,17,483
50,10,10,0.25,0.5,3,488,13,15,485
50,10,10,0.5,0.5,3,493,7,26,474
50,10,10,0.5,0.5,3,483,17,20,480
50,10,10,0.5,0.5,3,493,7,22,478
50,10,10,0.5,0.5,3,498,2,18,482
50,10,10,0.5,0.5,3,495,5,14,486
50,10,10,0.5,0.5,3,497,3,17,483
50,10,10,0.5,0.5,3,495,5,13,487
50,10,10,0.5,0.5,3,492,8,12,488
50,10,10,0.5,0.5,3,489,11,11,489
50,10,10,0.5,0.5,3,492,8,20,480
50,10,10,0.5,0.5,3,488,12,19,481
50,10,10,0.5,0.5,3,492,8,20,480
50,10,10,0.5,0.5,3,488,13,14,486
50,10,10,0.5,0.5,3,494,7,19,481
50,10,10,0.5,0.5,3,489,12,20,480
50,10,10,0.75,0.5,3,494,6,27,473
50,10,10,0.75,0.5,3,494,6,25,475
50,10,10,0.75,0.5,3,490,10,21,479
50,10,10,0.75,0.5,3,498,2,13,487
50,10,10,0.75,0.5,3,494,6,12,488
50,10,10,0.75,0.5,3,490,10,18,482
50,10,10,0.75,0.5,3,491,9,10,490
50,10,10,0.75,0.5,3,489,11,9,491
50,10,10,0.75,0.5,3,488,12,9,491
50,10,10,0.75,0.5,3,489,11,22,478
50,10,10,0.75,0.5,3,478,22,21,479
50,10,10,0.75,0.5,3,484,16,17,483
50,10,10,0.75,0.5,3,489,12,15,485
50,10,10,0.75,0.5,3,491,10,16,484
50,10,10,0.75,0.5,3,492,9,19,481
50,10,10,1.0,0.5,3,494,6,27,473
50,10,10,1.0,0.5,3,495,5,26,474
50,10,10,1.0,0.5,3,491,9,22,478
50,10,10,1.0,0.5,3,490,10,13,487
50,10,10,1.0,0.5,3,490,10,16,484
50,10,10,1.0,0.5,3,490,10,9,491
50,10,10,1.0,0.5,3,484,16,8,492
50,10,10,1.0,0.5,3,490,10,11,489
50,10,10,1.0,0.5,3,484,16,7,493
50,10,10,1.0,0.5,3,492,8,20,480
50,10,10,1.0,0.5,3,486,14,23,477
50,10,10,1.0,0.5,3,486,14,21,479
50,10,10,1.0,0.5,3,489,12,15,485
50,10,10,1.0,0.5,3,486,15,15,485
50,10,10,1.0,0.5,3,491,10,15,485
