number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50,10,10,0.5,0.1,3,9,92,0,162
50,10,10,0.5,0.1,3,4,97,0,162
50,10,10,0.5,0.1,3,16,85,1,161
50,10,10,0.5,0.1,3,7,94,1,161
50,10,10,0.5,0.1,3,4,97,0,162
50,10,10,0.5,0.1,3,12,89,1,161
50,10,10,0.5,0.1,3,5,96,0,162
50,10,10,0.5,0.1,3,3,98,0,162
50,10,10,0.5,0.1,3,7,94,1,161
50,10,10,0.5,0.1,3,8,93,2,160
50,10,10,0.5,0.1,3,10,91,1,161
50,10,10,0.5,0.1,3,6,95,0,162
50,10,10,0.5,0.1,3,3,102,1,161
50,10,10,0.5,0.1,3,4,101,1,161
50,10,10,0.5,0.1,3,3,102,0,162
50,10,10,0.5,0.2,3,6,95,1,161
50,10,10,0.5,0.2,3,9,92,1,161
50,10,10,0.5,0.2,3,9,92,2,160
50,10,10,0.5,0.2,3,9,92,1,161
50,10,10,0.5,0.2,3,2,99,1,161
50,10,10,0.5,0.2,3,6,95,1,161
50,10,10,0.5,0.2,3,6,95,2,160
50,10,10,0.5,0.2,3,7,94,1,161
50,10,10,0.5,0.2,3,12,89,2,160
50,10,10,0.5,0.2,3,8,93,1,161
50,10,10,0.5,0.2,3,3,98,0,162
50,10,10,0.5,0.2,3,13,88,2,160
50,10,10,0.5,0.2,3,4,101,1,161
50,10,10,0.5,0.2,3,21,84,4,158
50,10,10,0.5,0.2,3,3,102,3,159
50,10,10,0.5,0.3,3,51,50,3,159
50,10,10,0.5,0.3,3,67,34,3,159
50,10,10,0.5,0.3,3,67,34,5,157
50,10,10,0.5,0.3,3,35,66,2,160
50,10,10,0.5,0.3,3,39,62,5,157
50,10,10,0.5,0.3,3,55,46,5,157
50,10,10,0.5,0.3,3,55,46,3,159
50,10,10,0.5,0.3,3,20,81,4,158
50,10,10,0.5,0.3,3,36,65,7,155
50,10,10,0.5,0.3,3,57,44,4,158
50,10,10,0.5,0.3,3,49,52,4,158
50,10,10,0.5,0.3,3,51,50,5,157
50,10,10,0.5,0.3,3,53,52,5,157
50,10,10,0.5,0.3,3,63,42,7,155
50,10,10,0.5,0.3,3,63,42,8,154
50,10,10,0.5,0.4,3,75,26,5,157
50,10,10,0.5,0.4,3,92,9,3,159
50,10,10,0.5,0.4,3,91,10,5,157
50,10,10,0.5,0.4,3,82,19,2,160
50,10,10,0.5,0.4,3,91,10,2,160
50,10,10,0.5,0.4,3,85,16,2,160
50,10,10,0.5,0.4,3,79,22,2,160
50,10,10,0.5,0.4,3,85,16,5,157
50,10,10,0.5,0.4,3,66,35,4,158
50,10,10,0.5,0.4,3,98,3,1,161
50,10,10,0.5,0.4,3,81,20,1,161
50,10,10,0.5,0.4,3,100,1,1,161
50,10,10,0.5,0.4,3,101,4,4,158
50,10,10,0.5,0.4,3,85,20,3,159
50,10,10,0.5,0.4,3,78,27,3,159
50,10,10,0.5,0.5,3,101,0,4,158
50,10,10,0.5,0.5,3,93,8,3,159
50,10,10,0.5,0.5,3,101,0,3,159
50,10,10,0.5,0.5,3,99,2,12,150
50,10,10,0.5,0.5,3,78,23,4,158
50,10,10,0.5,0.5,3,97,4,4,158
50,10,10,0.5,0.5,3,85,16,1,161
50,10,10,0.5,0.5,3,98,3,1,161
50,10,10,0.5,0.5,3,90,11,6,156
50,10,10,0.5,0.5,3,99,2,3,159
50,10,10,0.5,0.5,3,89,12,1,161
50,10,10,0.5,0.5,3,101,0,2,160
50,10,10,0.5,0.5,3,100,5,5,157
50,10,10,0.5,0.5,3,103,2,4,158
50,10,10,0.5,0.5,3,102,3,4,158
50,10,10,0.5,0.6,3,101,0,4,158
50,10,10,0.5,0.6,3,101,0,3,159
50,10,10,0.5,0.6,3,100,1,2,160
50,10,10,0.5,0.6,3,94,7,5,157
50,10,10,0.5,0.6,3,94,7,5,157
50,10,10,0.5,0.6,3,87,14,7,155
50,10,10,0.5,0.6,3,91,10,2,160
50,10,10,0.5,0.6,3,96,5,1,161
