number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50,10,5,0.5,0.5,3,101,0,4,158
50,10,5,0.5,0.5,3,101,0,3,159
50,10,5,0.5,0.5,3,100,1,4,158
50,10,5,0.5,0.5,3,92,9,2,160
50,10,5,0.5,0.5,3,83,18,2,160
50,10,5,0.5,0.5,3,89,12,5,157
50,10,5,0.5,0.5,3,92,9,1,161
50,10,5,0.5,0.5,3,96,5,2,160
50,10,5,0.5,0.5,3,90,11,1,161
50,10,5,0.5,0.5,3,101,0,2,160
50,10,5,0.5,0.5,3,97,4,1,161
50,10,5,0.5,0.5,3,95,6,6,156
50,10,5,0.5,0.5,3,100,5,3,159
50,10,5,0.5,0.5,3,101,4,6,156
50,10,5,0.5,0.5,3,101,4,5,157
50,10,10,0.5,0.5,3,99,2,5,157
50,10,10,0.5,0.5,3,98,3,2,160
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,89,12,5,157
50,10,10,0.5,0.5,3,96,5,7,155
50,10,10,0.5,0.5,3,92,9,5,157
50,10,10,0.5,0.5,3,94,7,2,160
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,87,14,2,160
50,10,10,0.5,0.5,3,96,5,1,161
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,99,2,1,161
50,10,10,0.5,0.5,3,99,6,3,159
50,10,10,0.5,0.5,3,101,4,5,157
50,10,10,0.5,0.5,3,95,10,3,159
50,10,15,0.5,0.5,3,101,0,4,158
50,10,15,0.5,0.5,3,100,1,2,160
50,10,15,0.5,0.5,3,101,0,3,159
50,10,15,0.5,0.5,3,97,4,4,158
50,10,15,0.5,0.5,3,91,10,2,160
50,10,15,0.5,0.5,3,99,2,3,159
50,10,15,0.5,0.5,3,97,4,2,160
50,10,15,0.5,0.5,3,96,5,1,161
50,10,15,0.5,0.5,3,95,6,2,160
50,10,15,0.5,0.5,3,100,1,2,160
50,10,15,0.5,0.5,3,99,2,1,161
50,10,15,0.5,0.5,3,96,5,1,161
50,10,15,0.5,0.5,3,102,3,6,156
50,10,15,0.5,0.5,3,103,2,3,159
50,10,15,0.5,0.5,3,92,13,2,160
50,10,25,0.5,0.5,3,101,0,6,156
50,10,25,0.5,0.5,3,99,2,5,157
50,10,25,0.5,0.5,3,100,1,4,158
50,10,25,0.5,0.5,3,91,10,3,159
50,10,25,0.5,0.5,3,97,4,4,158
50,10,25,0.5,0.5,3,91,10,4,158
50,10,25,0.5,0.5,3,95,6,1,161
50,10,25,0.5,0.5,3,93,8,3,159
50,10,25,0.5,0.5,3,94,7,2,160
50,10,25,0.5,0.5,3,97,4,1,161
50,10,25,0.5,0.5,3,93,8,2,160
50,10,25,0.5,0.5,3,100,1,2,160
50,10,25,0.5,0.5,3,88,17,5,157
50,10,25,0.5,0.5,3,90,15,7,155
50,10,25,0.5,0.5,3,99,6,4,158
50,10,50,0.5,0.5,3,98,3,7,155
50,10,50,0.5,0.5,3,101,0,3,159
50,10,50,0.5,0.5,3,96,5,4,158
50,10,50,0.5,0.5,3,97,4,5,157
50,10,50,0.5,0.5,3,95,6,7,155
50,10,50,0.5,0.5,3,92,9,3,159
50,10,50,0.5,0.5,3,96,5,9,153
50,10,50,0.5,0.5,3,89,12,1,161
50,10,50,0.5,0.5,3,94,7,2,160
50,10,50,0.5,0.5,3,99,2,4,158
50,10,50,0.5,0.5,3,97,4,1,161
50,10,50,0.5,0.5,3,98,3,1,161
50,10,50,0.5,0.5,3,99,6,3,159
50,10,50,0.5,0.5,3,87,18,1,161
50,10,50,0.5,0.5,3,99,6,13,149
50,10,75,0.5,0.5,3,100,1,11,151
50,10,75,0.5,0.5,3,101,0,6,156
50,10,75,0.5,0.5,3,101,0,4,158
50,10,75,0.5,0.5,3,81,20,6,156
50,10,75,0.5,0.5,3,86,15,12,150
50,10,75,0.5,0.5,3,96,5,3,159
50,10,75,0.5,0.5,3,90,11,1,161
50,10,75,0.5,0.5,3,65,36,1,161
50,10,75,0.5,0.5,3,95,6,4,158
50,10,75,0.5,0.5,3,91,10,1,161
50,10,75,0.5,0.5,3,94,7,9,153
50,10,75,0.5,0.5,3,97,4,24,138
50,10,75,0.5,0.5,3,100,5,8,154
50,10,75,0.5,0.5,3,100,5,5,157
50,10,75,0.5,0.5,3,104,1,7,155
50,10,125,0.5,0.5,3,97,4,4,158
50,10,125,0.5,0.5,3,100,1,2,160
50,10,125,0.5,0.5,3,100,1,3,159
50,10,125,0.5,0.5,3,95,6,5,157
50,10,125,0.5,0.5,3,93,8,5,157
50,10,125,0.5,0.5,3,92,9,6,156
50,10,125,0.5,0.5,3,86,15,1,161
50,10,125,0.5,0.5,3,93,8,1,161
50,10,125,0.5,0.5,3,93,8,2,160
50,10,125,0.5,0.5,3,96,5,1,161
50,10,125,0.5,0.5,3,89,12,1,161
50,10,125,0.5,0.5,3,98,3,4,158
50,10,125,0.5,0.5,3,95,10,3,159
50,10,125,0.5,0.5,3,96,9,16,146
50,10,125,0.5,0.5,3,88,17,2,160
50,10,250,0.5,0.5,3,100,1,8,154
50,10,250,0.5,0.5,3,100,1,1,161
50,10,250,0.5,0.5,3,95,6,1,161
50,10,250,0.5,0.5,3,87,14,6,156
