number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
1,10,10,0.5,0.5,3,86,15,31,131
1,10,10,0.5,0.5,3,62,39,62,100
1,10,10,0.5,0.5,3,45,56,65,97
1,10,10,0.5,0.5,3,77,24,21,141
1,10,10,0.5,0.5,3,84,17,20,142
1,10,10,0.5,0.5,3,79,22,21,141
1,10,10,0.5,0.5,3,97,4,2,160
1,10,10,0.5,0.5,3,31,70,55,107
1,10,10,0.5,0.5,3,53,48,43,119
1,10,10,0.5,0.5,3,32,69,51,111
1,10,10,0.5,0.5,3,98,3,2,160
1,10,10,0.5,0.5,3,99,2,1,161
1,10,10,0.5,0.5,3,81,24,27,135
1,10,10,0.5,0.5,3,83,22,23,139
1,10,10,0.5,0.5,3,103,2,5,157
3,10,10,0.5,0.5,3,92,9,24,138
3,10,10,0.5,0.5,3,94,7,29,133
3,10,10,0.5,0.5,3,81,20,21,141
3,10,10,0.5,0.5,3,47,54,35,127
3,10,10,0.5,0.5,3,79,22,16,146
3,10,10,0.5,0.5,3,96,5,2,160
3,10,10,0.5,0.5,3,74,27,14,148
3,10,10,0.5,0.5,3,78,23,30,132
3,10,10,0.5,0.5,3,42,59,30,132
3,10,10,0.5,0.5,3,47,54,28,134
3,10,10,0.5,0.5,3,83,18,26,136
3,10,10,0.5,0.5,3,100,1,2,160
3,10,10,0.5,0.5,3,59,46,36,126
3,10,10,0.5,0.5,3,65,40,20,142
3,10,10,0.5,0.5,3,67,38,32,130
5,10,10,0.5,0.5,3,80,21,22,140
5,10,10,0.5,0.5,3,93,8,29,133
5,10,10,0.5,0.5,3,95,6,13,149
5,10,10,0.5,0.5,3,67,34,18,144
5,10,10,0.5,0.5,3,92,9,17,145
5,10,10,0.5,0.5,3,98,3,4,158
5,10,10,0.5,0.5,3,79,22,15,147
5,10,10,0.5,0.5,3,90,11,30,132
5,10,10,0.5,0.5,3,88,13,4,158
5,10,10,0.5,0.5,3,98,3,1,161
5,10,10,0.5,0.5,3,98,3,0,162
5,10,10,0.5,0.5,3,73,28,26,136
5,10,10,0.5,0.5,3,60,45,26,136
5,10,10,0.5,0.5,3,65,40,22,140
5,10,10,0.5,0.5,3,101,4,5,157
10,10,10,0.5,0.5,3,100,1,2,160
10,10,10,0.5,0.5,3,93,8,17,145
10,10,10,0.5,0.5,3,97,4,5,157
10,10,10,0.5,0.5,3,84,17,10,152
10,10,10,0.5,0.5,3,99,2,18,144
10,10,10,0.5,0.5,3,95,6,2,160
10,10,10,0.5,0.5,3,58,43,3,159
10,10,10,0.5,0.5,3,99,2,2,160
10,10,10,0.5,0.5,3,75,26,2,160
10,10,10,0.5,0.5,3,94,7,20,142
10,10,10,0.5,0.5,3,101,0,5,157
10,10,10,0.5,0.5,3,93,8,9,153
10,10,10,0.5,0.5,3,82,23,15,147
10,10,10,0.5,0.5,3,87,18,5,157
10,10,10,0.5,0.5,3,102,3,23,139
15,10,10,0.5,0.5,3,101,0,2,160
15,10,10,0.5,0.5,3,100,1,2,160
