number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,111,25,0,0,0,0,64,63,0,0,0,0,11,28,0,0,0,0,1,2,0,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,107,29,0,0,0,0,77,50,0,0,0,0,12,27,0,0,0,0,2,1,0,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,109,27,0,0,0,0,69,58,0,0,0,0,9,30,0,0,0,0,2,1,0,0
50,10,10,0.5,0.1,3,0,0,0,2,0,0,0,0,4,6,0,0,0,0,114,22,0,0,0,0,51,76,0,0,0,0,11,28,0,0,0,0,2,1,0,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,123,13,0,0,0,0,64,63,0,0,0,0,17,22,0,0,0,0,1,2,0,0
50,10,10,0.5,0.1,3,0,0,0,2,0,0,0,0,6,4,0,0,0,0,113,23,0,0,0,0,65,62,0,0,0,0,17,22,0,0,0,0,1,2,0,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,94,42,0,0,0,0,86,41,0,0,0,0,18,21,0,0,0,0,0,3,0,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,100,36,0,0,0,0,75,52,0,0,0,0,16,23,0,0,0,0,1,2,0,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,98,38,0,0,0,0,65,62,0,0,0,0,6,32,1,0,0,0,0,3,0,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,9,1,0,0,0,0,112,24,0,0,0,0,69,58,0,0,0,0,19,20,0,0,0,0,1,2,0,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,99,37,0,0,0,0,57,70,0,0,0,0,11,28,0,0,0,0,1,2,0,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,9,1,0,0,0,0,111,25,0,0,0,0,70,57,0,0,0,0,16,23,0,0,0,0,1,2,0,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,7,6,0,0,0,0,109,28,0,0,0,0,65,65,0,0,0,0,16,27,0,0,0,0,3,3,0,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,107,30,0,0,0,0,68,62,0,0,0,0,11,32,0,0,0,0,1,5,0,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,6,7,0,0,0,0,106,31,0,0,0,0,63,67,0,0,0,0,8,33,2,0,0,0,0,6,0,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,112,23,1,0,0,0,55,72,0,0,0,0,3,31,5,0,0,0,1,1,1,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,109,27,0,0,0,0,41,85,1,0,0,0,11,25,3,0,0,0,0,3,0,0
50,10,10,0.5,0.2,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,113,23,0,0,0,0,45,82,0,0,0,0,5,31,3,0,0,0,1,2,0,0
50,10,10,0.5,0.2,3,0,0,1,1,0,0,0,0,4,6,0,0,0,0,118,18,0,0,0,0,38,89,0,0,0,0,3,29,7,0,0,0,1,2,0,0
50,10,10,0.5,0.2,3,0,0,0,2,0,0,0,0,6,4,0,0,0,0,107,29,0,0,0,0,34,93,0,0,0,0,2,31,6,0,0,0,0,3,0,0
50,10,10,0.5,0.2,3,0,0,1,1,0,0,0,0,4,6,0,0,0,0,112,24,0,0,0,0,29,97,1,0,0,0,2,29,8,0,0,0,1,2,0,0
50,10,10,0.5,0.2,3,0,0,1,1,0,0,0,0,7,2,1,0,0,0,104,32,0,0,0,0,44,83,0,0,0,0,6,24,9,0,0,0,0,3,0,0
50,10,10,0.5,0.2,3,0,0,1,1,0,0,0,0,4,6,0,0,0,0,101,35,0,0,0,0,49,78,0,0,0,0,6,28,5,0,0,0,0,3,0,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,113,23,0,0,0,0,55,72,0,0,0,0,7,29,3,0,0,0,0,3,0,0
50,10,10,0.5,0.2,3,0,0,0,2,0,0,0,0,7,3,0,0,0,0,116,20,0,0,0,0,41,83,3,0,0,0,7,29,3,0,0,0,0,3,0,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,116,20,0,0,0,0,36,89,2,0,0,0,7,30,2,0,0,0,0,3,0,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,117,19,0,0,0,0,37,89,1,0,0,0,3,30,6,0,0,0,0,3,0,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,114,23,0,0,0,0,57,72,1,0,0,0,10,26,7,0,0,0,0,6,0,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,8,5,0,0,0,0,115,22,0,0,0,0,50,78,2,0,0,0,4,33,6,0,0,0,0,6,0,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,111,26,0,0,0,0,51,79,0,0,0,0,11,28,4,0,0,0,2,3,1,0
50,10,10,0.5,0.3,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,117,19,0,0,0,0,45,81,1,0,0,0,6,25,8,0,0,0,1,2,0,0
50,10,10,0.5,0.3,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,107,28,1,0,0,0,36,90,1,0,0,0,6,25,8,0,0,0,1,2,0,0
50,10,10,0.5,0.3,3,0,0,1,1,0,0,0,0,9,1,0,0,0,0,118,17,1,0,0,0,42,85,0,0,0,0,4,29,6,0,0,0,0,3,0,0
50,10,10,0.5,0.3,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,110,26,0,0,0,0,34,89,4,0,0,0,0,26,13,0,0,0,0,3,0,0
50,10,10,0.5,0.3,3,0,0,2,0,0,0,0,0,9,1,0,0,0,0,114,22,0,0,0,0,27,96,4,0,0,0,1,26,12,0,0,0,0,2,1,0
