number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,106,30,0,0,0,0,55,72,0,0,0,0,6,33,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,117,19,0,0,0,0,68,59,0,0,0,0,5,34,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,99,37,0,0,0,0,40,87,0,0,0,0,3,36,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,108,28,0,0,0,0,49,78,0,0,0,0,4,35,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,116,20,0,0,0,0,62,65,0,0,0,0,7,32,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,107,29,0,0,0,0,47,80,0,0,0,0,5,34,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,99,37,0,0,0,0,56,71,0,0,0,0,2,37,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,110,26,0,0,0,0,70,57,0,0,0,0,4,35,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,112,24,0,0,0,0,70,57,0,0,0,0,3,36,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,1,0,0,0,0,110,26,0,0,0,0,41,86,0,0,0,0,2,37,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,1,0,0,0,0,116,20,0,0,0,0,48,79,0,0,0,0,1,38,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,112,24,0,0,0,0,39,88,0,0,0,0,3,36,0,0,0,0,0,3,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,112,25,0,0,0,0,59,71,0,0,0,0,5,38,0,0,0,0,0,6,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,110,27,0,0,0,0,54,76,0,0,0,0,3,40,0,0,0,0,0,6,0,0
50,1,10,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,116,21,0,0,0,0,63,67,0,0,0,0,6,37,0,0,0,0,0,6,0,0
50,2,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,108,28,0,0,0,0,48,79,0,0,0,0,5,34,0,0,0,0,0,3,0,0
