number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,1,7,1,1,0,0,2,80,48,6,0,0,4,54,55,14,0,0,0,9,8,22,0,0,0,1,1,1,0
1,10,10,0.5,0.5,3,0,1,0,1,0,0,0,0,6,3,1,0,0,5,81,45,5,0,0,0,37,70,20,0,0,0,4,18,17,0,0,0,1,0,2,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,4,4,1,0,0,2,80,49,5,0,0,7,48,60,11,1,0,1,8,19,11,0,0,0,2,1,0,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,5,86,36,9,0,0,3,40,64,20,0,0,0,2,20,17,0,0,0,0,1,2,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,4,5,1,0,1,1,92,38,4,0,0,0,37,72,18,0,0,0,4,18,17,0,0,0,0,2,1,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,0,2,77,45,12,0,1,0,47,62,16,1,0,0,6,15,18,0,0,0,0,3,0,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,6,2,2,0,0,3,66,56,9,2,0,1,45,68,11,2,0,0,10,18,9,2,0,0,0,2,0,1
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,4,1,0,1,0,81,50,4,0,1,3,54,61,7,1,0,0,5,21,13,0,0,0,1,1,1,0
1,10,10,0.5,0.5,3,0,0,0,2,0,0,0,1,5,3,1,0,0,3,95,31,6,1,0,3,57,57,10,0,0,0,11,15,12,1,0,0,0,1,2,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,2,74,46,14,0,0,6,39,61,21,0,0,0,6,19,14,0,0,0,0,2,1,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,1,7,2,0,0,0,2,91,39,4,0,1,2,45,59,18,2,0,0,5,23,9,2,0,0,1,1,1,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,2,5,3,0,0,0,5,76,51,3,1,0,2,41,59,25,0,0,0,9,17,13,0,0,0,1,2,0,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,7,4,1,0,0,6,77,45,9,0,0,4,49,64,12,1,0,0,6,24,13,0,0,0,0,5,1,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,1,1,6,3,2,0,1,1,97,34,4,0,0,2,47,58,23,0,0,2,3,22,15,1,0,0,0,4,2,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,6,6,0,0,1,4,90,40,2,0,0,1,42,68,17,2,0,0,5,19,19,0,0,0,0,3,3,0
3,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,4,5,0,0,0,0,93,39,4,0,0,0,47,76,4,0,0,0,5,22,11,1,0,0,1,1,1,0
3,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,5,4,0,0,0,0,89,43,4,0,0,1,38,74,14,0,0,0,8,21,9,1,0,0,0,2,1,0
