number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,110,25,1,0,0,0,37,89,1,0,0,0,4,23,12,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,106,30,0,0,0,0,44,82,1,0,0,0,3,27,9,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,107,29,0,0,0,0,41,84,2,0,0,0,5,22,12,0,0,0,0,3,0,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,110,26,0,0,0,0,27,96,4,0,0,0,2,24,13,0,0,0,0,3,0,0
50,10,10,0.0,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,107,29,0,0,0,0,33,91,3,0,0,0,0,23,16,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,108,28,0,0,0,0,36,87,4,0,0,0,1,30,8,0,0,0,0,3,0,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,103,33,0,0,0,0,46,80,1,0,0,0,1,25,13,0,0,0,0,3,0,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,97,39,0,0,0,0,38,87,2,0,0,0,1,27,11,0,0,0,0,3,0,0
50,10,10,0.0,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,105,31,0,0,0,0,48,77,2,0,0,0,1,26,12,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,111,25,0,0,0,0,26,92,9,0,0,0,3,25,11,0,0,0,0,3,0,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,118,18,0,0,0,0,24,99,4,0,0,0,2,30,7,0,0,0,0,3,0,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,113,23,0,0,0,0,30,92,5,0,0,0,3,27,9,0,0,0,0,3,0,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,109,28,0,0,0,0,35,91,4,0,0,0,2,32,9,0,0,0,0,5,1,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,115,22,0,0,0,0,41,86,3,0,0,0,4,30,9,0,0,0,0,5,1,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,8,5,0,0,0,0,111,26,0,0,0,0,40,87,3,0,0,0,2,31,10,0,0,0,0,5,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,107,29,0,0,0,0,37,88,2,0,0,0,6,19,14,0,0,0,0,1,2,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,110,26,0,0,0,0,33,91,3,0,0,0,4,26,9,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,110,26,0,0,0,0,46,79,2,0,0,0,5,24,10,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,112,24,0,0,0,0,36,90,1,0,0,0,1,30,8,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,106,30,0,0,0,0,31,94,2,0,0,0,0,27,12,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,109,27,0,0,0,0,35,88,4,0,0,0,0,29,10,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,101,35,0,0,0,0,42,85,0,0,0,0,1,27,11,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,7,2,1,0,0,0,106,30,0,0,0,0,42,83,2,0,0,0,1,25,13,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,6,3,1,0,0,0,100,36,0,0,0,0,41,85,1,0,0,0,1,27,11,0,0,0,0,0,3,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,110,26,0,0,0,0,27,93,7,0,0,0,3,22,14,0,0,0,0,3,0,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,115,20,1,0,0,0,28,96,3,0,0,0,3,28,8,0,0,0,0,3,0,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,112,24,0,0,0,0,31,88,8,0,0,0,2,26,11,0,0,0,0,3,0,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,108,28,1,0,0,0,37,88,5,0,0,0,5,29,9,0,0,0,0,5,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,110,27,0,0,0,0,40,87,3,0,0,0,3,32,8,0,0,0,0,6,0,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,111,26,0,0,0,0,45,84,1,0,0,0,4,31,8,0,0,0,0,5,1,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,104,32,0,0,0,0,34,89,4,0,0,0,5,25,9,0,0,0,0,1,2,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,107,28,1,0,0,0,37,89,1,0,0,0,6,25,8,0,0,0,0,1,2,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,107,29,0,0,0,0,32,95,0,0,0,0,2,24,13,0,0,0,0,2,1,0
50,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,5,5,0,0,0,0,109,27,0,0,0,0,39,84,4,0,0,0,1,26,12,0,0,0,0,2,1,0
50,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,111,25,0,0,0,0,31,92,4,0,0,0,1,25,13,0,0,0,0,3,0,0
50,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,115,21,0,0,0,0,32,90,5,0,0,0,2,21,16,0,0,0,0,2,1,0
50,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,5,5,0,0,0,0,101,35,0,0,0,0,42,83,2,0,0,0,2,26,11,0,0,0,0,2,1,0
50,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,5,5,0,0,0,0,102,34,0,0,0,0,44,80,3,0,0,0,1,25,13,0,0,0,0,1,2,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,105,30,1,0,0,0,44,80,3,0,0,0,1,25,13,0,0,0,0,3,0,0
50,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,9,1,0,0,0,0,113,23,0,0,0,0,27,93,7,0,0,0,2,26,11,0,0,0,0,3,0,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,1,0,0,0,0,117,17,2,0,0,0,25,100,2,0,0,0,2,26,11,0,0,0,0,3,0,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,1,0,0,0,0,111,23,2,0,0,0,26,97,4,0,0,0,3,24,12,0,0,0,0,3,0,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,112,25,0,0,0,0,39,88,3,0,0,0,4,28,11,0,0,0,0,5,1,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,8,5,0,0,0,0,111,26,0,0,0,0,32,93,5,0,0,0,4,29,10,0,0,0,0,5,1,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,111,26,0,0,0,0,41,86,3,0,0,0,3,30,10,0,0,0,0,5,1,0
50,10,10,0.75,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,106,29,1,0,0,0,37,88,2,0,0,0,5,22,12,0,0,0,0,2,1,0
50,10,10,0.75,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,111,25,0,0,0,0,45,79,3,0,0,0,4,22,13,0,0,0,0,1,2,0
50,10,10,0.75,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,113,23,0,0,0,0,38,86,3,0,0,0,4,23,12,0,0,0,0,2,1,0
