number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50.0,10.0,10.0,0.5,0.1,3.0,497.6666666666667,2.533333333333333,81.06666666666666,418.93333333333334
50.0,10.0,10.0,0.5,0.2,3.0,496.06666666666666,4.133333333333334,63.86666666666667,436.1333333333333
50.0,10.0,10.0,0.5,0.3,3.0,488.1333333333333,12.066666666666666,17.6,482.4
50.0,10.0,10.0,0.5,0.4,3.0,485.6,14.6,16.2,483.8
50.0,10.0,10.0,0.5,0.5,3.0,491.06666666666666,9.133333333333333,16.6,483.4
50.0,10.0,10.0,0.5,0.6,3.0,491.6,8.6,18.133333333333333,481.8666666666667
50.0,10.0,10.0,0.5,0.7,3.0,492.53333333333336,7.666666666666667,18.2,481.8
50.0,10.0,10.0,0.5,0.8,3.0,490.2,10.0,17.0,483.0
50.0,10.0,10.0,0.5,0.9,3.0,486.8666666666667,13.333333333333334,15.6,484.4
50.0,10.0,10.0,0.5,1.0,3.0,487.4,12.8,17.266666666666666,482.73333333333335
