number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
1.0,10.0,10.0,0.5,0.5,3.0,483.73333333333335,16.466666666666665,18.733333333333334,481.26666666666665
3.0,10.0,10.0,0.5,0.5,3.0,484.73333333333335,15.466666666666667,15.466666666666667,484.53333333333336
5.0,10.0,10.0,0.5,0.5,3.0,485.8,14.4,15.6,484.4
10.0,10.0,10.0,0.5,0.5,3.0,486.8666666666667,13.333333333333334,15.133333333333333,484.8666666666667
15.0,10.0,10.0,0.5,0.5,3.0,486.3333333333333,13.866666666666667,14.933333333333334,485.06666666666666
25.0,10.0,10.0,0.5,0.5,3.0,486.8,13.4,15.333333333333334,484.6666666666667
50.0,10.0,10.0,0.5,0.5,3.0,487.1333333333333,13.066666666666666,15.266666666666667,484.73333333333335
100.0,10.0,10.0,0.5,0.5,3.0,486.93333333333334,13.266666666666667,15.4,484.6
200.0,10.0,10.0,0.5,0.5,3.0,486.93333333333334,13.266666666666667,15.133333333333333,484.8666666666667
500.0,10.0,10.0,0.5,0.5,3.0,487.1333333333333,13.066666666666666,15.4,484.6
750.0,10.0,10.0,0.5,0.5,3.0,487.1333333333333,13.066666666666666,15.333333333333334,484.6666666666667
