number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
1.0,10.0,10.0,0.5,0.5,3.0,458.73333333333335,41.46666666666667,60.333333333333336,439.6666666666667
3.0,10.0,10.0,0.5,0.5,3.0,470.06666666666666,30.133333333333333,42.4,457.6
5.0,10.0,10.0,0.5,0.5,3.0,475.8,24.4,29.666666666666668,470.3333333333333
10.0,10.0,10.0,0.5,0.5,3.0,483.93333333333334,16.266666666666666,22.866666666666667,477.1333333333333
15.0,10.0,10.0,0.5,0.5,3.0,482.4,17.8,20.933333333333334,479.06666666666666
25.0,10.0,10.0,0.5,0.5,3.0,487.93333333333334,12.266666666666667,17.866666666666667,482.1333333333333
50.0,10.0,10.0,0.5,0.5,3.0,489.73333333333335,10.466666666666667,16.2,483.8
100.0,10.0,10.0,0.5,0.5,3.0,492.3333333333333,7.866666666666666,18.333333333333332,481.6666666666667
200.0,10.0,10.0,0.5,0.5,3.0,493.4,6.8,18.333333333333332,481.6666666666667
500.0,10.0,10.0,0.5,0.5,3.0,494.53333333333336,5.666666666666667,19.266666666666666,480.73333333333335
750.0,10.0,10.0,0.5,0.5,3.0,494.1333333333333,6.066666666666666,19.066666666666666,480.93333333333334
