number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50.0,10.0,10.0,0.5,0.1,3.0,100.53333333333333,1.266666666666666,2.266666666666666,159.73333333333332
50.0,10.0,10.0,0.5,0.2,3.0,100.66666666666667,1.133333333333333,2.533333333333333,159.46666666666667
50.0,10.0,10.0,0.5,0.3,3.0,100.66666666666667,1.133333333333333,2.4,159.6
50.0,10.0,10.0,0.5,0.4,3.0,100.66666666666667,1.133333333333333,2.666666666666666,159.33333333333334
50.0,10.0,10.0,0.5,0.5,3.0,100.6,1.2,2.466666666666667,159.53333333333333
50.0,10.0,10.0,0.5,0.6,3.0,100.46666666666667,1.333333333333333,2.466666666666667,159.53333333333333
50.0,10.0,10.0,0.5,0.7,3.0,100.4,1.4,2.133333333333333,159.86666666666667
50.0,10.0,10.0,0.5,0.8,3.0,100.4,1.4,1.533333333333334,160.46666666666667
50.0,10.0,10.0,0.5,0.9,3.0,100.2,1.6,1.6,160.4
50.0,10.0,10.0,0.5,1.0,3.0,100.13333333333334,1.666666666666667,1.666666666666667,160.33333333333334
