number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50.0,10.0,10.0,0.5,0.1,3.0,6.733333333333333,95.06666666666666,0.6,161.4
50.0,10.0,10.0,0.5,0.2,3.0,7.866666666666666,93.93333333333334,1.533333333333334,160.46666666666667
50.0,10.0,10.0,0.5,0.3,3.0,50.733333333333334,51.06666666666667,4.666666666666667,157.33333333333334
50.0,10.0,10.0,0.5,0.4,3.0,85.93333333333334,15.866666666666667,2.866666666666666,159.13333333333333
50.0,10.0,10.0,0.5,0.5,3.0,95.73333333333333,6.066666666666666,3.8,158.2
50.0,10.0,10.0,0.5,0.6,3.0,95.0,6.8,3.466666666666667,158.53333333333333
50.0,10.0,10.0,0.5,0.7,3.0,99.66666666666667,2.133333333333333,3.0,159.0
50.0,10.0,10.0,0.5,0.8,3.0,100.26666666666667,1.533333333333334,2.933333333333333,159.06666666666666
50.0,10.0,10.0,0.5,0.9,3.0,100.66666666666667,1.133333333333333,2.733333333333334,159.26666666666668
50.0,10.0,10.0,0.5,1.0,3.0,100.86666666666666,0.933333333333333,2.666666666666666,159.33333333333334
