number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50.0,10.0,10.0,0.5,0.1,3.0,0.0,0.0,1.333333333333333,0.666666666666667,0.0,0.0,0.0,0.0,7.066666666666666,3.533333333333333,0.0,0.0,0.0,0.0,107.53333333333333,28.666666666666668,0.0,0.0,0.0,0.0,67.2,60.4,0.0,0.0,0.0,0.0,13.2,26.4,0.2,0.0,0.0,0.0,1.133333333333333,2.466666666666667,0.0,0.0
50.0,10.0,10.0,0.5,0.2,3.0,0.0,0.0,1.4,0.6,0.0,0.0,0.0,0.0,6.533333333333333,4.0,0.066666666666667,0.0,0.0,0.0,111.86666666666666,24.266666666666666,0.066666666666667,0.0,0.0,0.0,44.13333333333333,82.73333333333333,0.733333333333333,0.0,0.0,0.0,5.8,28.866666666666667,5.133333333333334,0.0,0.0,0.0,0.4,3.066666666666667,0.133333333333333,0.0
50.0,10.0,10.0,0.5,0.3,3.0,0.0,0.0,1.533333333333334,0.466666666666667,0.0,0.0,0.0,0.0,7.6,3.0,0.0,0.0,0.0,0.0,112.0,24.0,0.2,0.0,0.0,0.0,38.93333333333333,86.73333333333333,1.933333333333333,0.0,0.0,0.0,3.533333333333333,27.4,8.866666666666667,0.0,0.0,0.0,0.2,3.133333333333334,0.266666666666667,0.0
50.0,10.0,10.0,0.5,0.4,3.0,0.0,0.0,1.733333333333334,0.266666666666667,0.0,0.0,0.0,0.0,7.2,3.333333333333334,0.066666666666667,0.0,0.0,0.0,109.86666666666666,26.2,0.133333333333333,0.0,0.0,0.0,37.8,87.06666666666666,2.733333333333334,0.0,0.0,0.0,3.4,25.933333333333334,10.466666666666667,0.0,0.0,0.0,0.066666666666667,2.933333333333333,0.6,0.0
50.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.666666666666667,0.333333333333333,0.0,0.0,0.0,0.0,7.2,3.266666666666666,0.133333333333333,0.0,0.0,0.0,109.93333333333334,26.2,0.066666666666667,0.0,0.0,0.0,37.333333333333336,86.2,4.066666666666666,0.0,0.0,0.0,2.8,25.733333333333334,11.266666666666667,0.0,0.0,0.0,0.0,2.666666666666666,0.933333333333333,0.0
50.0,10.0,10.0,0.5,0.6,3.0,0.0,0.0,1.666666666666667,0.333333333333333,0.0,0.0,0.0,0.0,7.0,3.466666666666667,0.133333333333333,0.0,0.0,0.0,108.0,27.866666666666667,0.333333333333333,0.0,0.0,0.0,35.0,88.2,4.4,0.0,0.0,0.0,2.333333333333334,24.866666666666667,12.6,0.0,0.0,0.0,0.0,2.733333333333334,0.866666666666667,0.0
50.0,10.0,10.0,0.5,0.7,3.0,0.0,0.0,1.733333333333334,0.266666666666667,0.0,0.0,0.0,0.0,6.8,3.733333333333334,0.066666666666667,0.0,0.0,0.0,108.66666666666667,26.666666666666668,0.866666666666667,0.0,0.0,0.0,34.86666666666667,88.13333333333334,4.6,0.0,0.0,0.0,2.6,23.866666666666667,13.333333333333334,0.0,0.0,0.0,0.0,2.933333333333333,0.666666666666667,0.0
50.0,10.0,10.0,0.5,0.8,3.0,0.0,0.0,1.733333333333334,0.266666666666667,0.0,0.0,0.0,0.0,7.133333333333334,3.4,0.066666666666667,0.0,0.0,0.0,108.0,27.866666666666667,0.333333333333333,0.0,0.0,0.0,34.86666666666667,87.6,5.133333333333334,0.0,0.0,0.0,2.133333333333333,23.8,13.866666666666667,0.0,0.0,0.0,0.0,2.733333333333334,0.866666666666667,0.0
50.0,10.0,10.0,0.5,0.9,3.0,0.0,0.0,1.666666666666667,0.333333333333333,0.0,0.0,0.0,0.0,6.8,3.666666666666666,0.133333333333333,0.0,0.0,0.0,108.13333333333334,27.8,0.266666666666667,0.0,0.0,0.0,35.266666666666666,87.2,5.133333333333334,0.0,0.0,0.0,1.933333333333333,24.733333333333334,13.133333333333333,0.0,0.0,0.0,0.0,2.4,1.2,0.0
50.0,10.0,10.0,0.5,1.0,3.0,0.0,0.0,1.733333333333334,0.266666666666667,0.0,0.0,0.0,0.0,7.066666666666666,3.466666666666667,0.066666666666667,0.0,0.0,0.0,108.0,27.6,0.6,0.0,0.0,0.0,34.333333333333336,86.86666666666666,6.4,0.0,0.0,0.0,2.066666666666667,23.6,14.133333333333333,0.0,0.0,0.0,0.0,2.4,1.2,0.0
