number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
1.0,10.0,10.0,0.5,0.5,3.0,0.0,0.133333333333333,1.2,0.666666666666667,0.0,0.0,0.133333333333333,0.933333333333333,5.333333333333333,3.8,0.4,0.0,0.733333333333333,3.8,88.93333333333334,39.333333333333336,3.266666666666666,0.133333333333333,0.2,2.666666666666666,38.266666666666666,70.8,15.066666666666666,0.6,0.266666666666667,0.666666666666667,4.933333333333334,17.4,16.133333333333333,0.4,0.0,0.0,0.466666666666667,1.466666666666666,1.533333333333334,0.133333333333333
3.0,10.0,10.0,0.5,0.5,3.0,0.066666666666667,0.066666666666667,1.2,0.6,0.0,0.066666666666667,0.133333333333333,0.466666666666667,6.2,3.4,0.4,0.0,0.333333333333333,1.4,98.33333333333333,33.93333333333333,1.933333333333333,0.266666666666667,0.066666666666667,0.533333333333333,35.86666666666667,80.06666666666666,10.666666666666666,0.4,0.0,0.2,4.466666666666667,19.733333333333334,15.066666666666666,0.333333333333333,0.0,0.0,0.133333333333333,1.866666666666667,1.533333333333334,0.066666666666667
5.0,10.0,10.0,0.5,0.5,3.0,0.0,0.133333333333333,1.2,0.666666666666667,0.0,0.0,0.066666666666667,0.4,6.6,3.2,0.333333333333333,0.0,0.2,0.8,102.4,31.4,1.4,0.0,0.0,0.266666666666667,34.93333333333333,81.6,10.533333333333333,0.266666666666667,0.0,0.133333333333333,3.8,18.866666666666667,17.0,0.0,0.0,0.0,0.0,1.533333333333334,2.066666666666667,0.0
10.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.466666666666666,0.533333333333333,0.0,0.0,0.133333333333333,0.133333333333333,6.733333333333333,3.333333333333334,0.266666666666667,0.0,0.2,0.466666666666667,103.73333333333333,30.6,1.2,0.0,0.0,0.133333333333333,34.46666666666667,83.13333333333334,9.8,0.066666666666667,0.0,0.066666666666667,3.133333333333334,20.8,15.8,0.0,0.0,0.0,0.0,2.0,1.6,0.0
15.0,10.0,10.0,0.5,0.5,3.0,0.0,0.066666666666667,1.666666666666667,0.266666666666667,0.0,0.0,0.0,0.133333333333333,7.2,3.066666666666667,0.2,0.0,0.266666666666667,0.4,104.73333333333333,29.733333333333334,1.066666666666667,0.0,0.0,0.133333333333333,31.333333333333332,87.73333333333333,8.333333333333334,0.066666666666667,0.0,0.0,2.6,20.2,16.933333333333334,0.066666666666667,0.0,0.0,0.0,2.0,1.6,0.0
25.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.533333333333334,0.466666666666667,0.0,0.0,0.0,0.133333333333333,7.133333333333334,3.2,0.133333333333333,0.0,0.2,0.466666666666667,104.33333333333333,30.333333333333332,0.866666666666667,0.0,0.0,0.066666666666667,32.86666666666667,87.33333333333333,7.333333333333333,0.0,0.0,0.0,2.0,21.066666666666666,16.666666666666668,0.066666666666667,0.0,0.0,0.0,2.066666666666667,1.533333333333334,0.0
50.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.4,0.6,0.0,0.0,0.0,0.066666666666667,7.466666666666667,2.933333333333333,0.133333333333333,0.0,0.266666666666667,0.4,105.93333333333334,29.2,0.4,0.0,0.0,0.133333333333333,31.466666666666665,88.8,7.2,0.0,0.0,0.0,1.866666666666667,21.733333333333334,16.2,0.0,0.0,0.0,0.0,1.6,2.0,0.0
100.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.4,0.6,0.0,0.0,0.0,0.0,7.6,2.933333333333333,0.066666666666667,0.0,0.266666666666667,0.133333333333333,106.06666666666666,29.133333333333333,0.6,0.0,0.0,0.0,32.86666666666667,87.53333333333333,7.2,0.0,0.0,0.0,1.8,21.133333333333333,16.866666666666667,0.0,0.0,0.0,0.0,1.866666666666667,1.733333333333334,0.0
200.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.533333333333334,0.466666666666667,0.0,0.0,0.0,0.066666666666667,7.6,2.733333333333334,0.2,0.0,0.133333333333333,0.266666666666667,107.2,28.2,0.4,0.0,0.0,0.0,31.333333333333332,89.73333333333333,6.533333333333333,0.0,0.0,0.0,1.733333333333334,21.8,16.266666666666666,0.0,0.0,0.0,0.0,1.666666666666667,1.933333333333333,0.0
500.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.4,0.6,0.0,0.0,0.0,0.0,7.333333333333333,3.066666666666667,0.2,0.0,0.2,0.2,105.86666666666666,29.4,0.533333333333333,0.0,0.0,0.0,31.6,88.93333333333334,7.066666666666666,0.0,0.0,0.0,1.666666666666667,21.8,16.333333333333332,0.0,0.0,0.0,0.0,1.733333333333334,1.866666666666667,0.0
750.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.533333333333334,0.466666666666667,0.0,0.0,0.0,0.0,7.333333333333333,3.066666666666667,0.2,0.0,0.133333333333333,0.266666666666667,105.66666666666667,29.6,0.533333333333333,0.0,0.0,0.0,31.933333333333334,88.93333333333334,6.733333333333333,0.0,0.0,0.0,1.6,22.0,16.2,0.0,0.0,0.0,0.0,1.733333333333334,1.866666666666667,0.0
