number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,1,10,0.45,0.75,3,1917,84,90,1910
200,1,10,0.45,0.75,3,1917,84,90,1910
200,1,10,0.45,0.75,3,1917,84,90,1910
200,1,10,0.45,0.75,3,1917,84,90,1910
200,1,10,0.45,0.75,3,1917,84,90,1910
200,2,10,0.45,0.75,3,1940,61,96,1904
200,2,10,0.45,0.75,3,1967,34,101,1899
200,2,10,0.45,0.75,3,1967,34,98,1902
200,2,10,0.45,0.75,3,1967,34,101,1899
200,2,10,0.45,0.75,3,1940,61,91,1909
200,5,10,0.45,0.75,3,1959,42,99,1901
200,5,10,0.45,0.75,3,1958,43,98,1902
200,5,10,0.45,0.75,3,1960,41,102,1898
200,5,10,0.45,0.75,3,1959,42,100,1900
200,5,10,0.45,0.75,3,1960,41,98,1902
200,10,10,0.45,0.75,3,1957,44,97,1903
200,10,10,0.45,0.75,3,1946,55,95,1905
200,10,10,0.45,0.75,3,1954,47,89,1911
200,10,10,0.45,0.75,3,1958,43,100,1900
200,10,10,0.45,0.75,3,1962,39,98,1902
200,15,10,0.45,0.75,3,1958,43,98,1902
200,15,10,0.45,0.75,3,1959,42,104,1896
200,15,10,0.45,0.75,3,1958,43,102,1898
200,15,10,0.45,0.75,3,1957,44,102,1898
200,15,10,0.45,0.75,3,1962,39,107,1893
200,25,10,0.45,0.75,3,1962,39,99,1901
200,25,10,0.45,0.75,3,1958,43,100,1900
200,25,10,0.45,0.75,3,1959,42,98,1902
200,25,10,0.45,0.75,3,1958,43,98,1902
200,25,10,0.45,0.75,3,1957,44,104,1896
200,50,10,0.45,0.75,3,1962,39,100,1900
200,50,10,0.45,0.75,3,1960,41,101,1899
200,50,10,0.45,0.75,3,1961,40,100,1900
200,50,10,0.45,0.75,3,1959,42,100,1900
200,50,10,0.45,0.75,3,1959,42,100,1900
200,100,10,0.45,0.75,3,1960,41,104,1896
200,100,10,0.45,0.75,3,1957,44,100,1900
200,100,10,0.45,0.75,3,1961,40,103,1897
200,100,10,0.45,0.75,3,1957,44,98,1902
200,100,10,0.45,0.75,3,1947,54,98,1902
200,200,10,0.45,0.75,3,1959,42,98,1902
200,200,10,0.45,0.75,3,1958,43,101,1899
200,200,10,0.45,0.75,3,1961,40,103,1897
200,200,10,0.45,0.75,3,1962,39,99,1901
200,200,10,0.45,0.75,3,1952,49,97,1903
200,500,10,0.45,0.75,3,1946,55,100,1900
200,500,10,0.45,0.75,3,1958,43,98,1902
200,500,10,0.45,0.75,3,1952,49,99,1901
200,500,10,0.45,0.75,3,1957,44,98,1902
200,500,10,0.45,0.75,3,1961,40,101,1899
