number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,1,10,0.45,0.75,3,406,2,127,521
200,1,10,0.45,0.75,3,406,2,127,521
200,1,10,0.45,0.75,3,406,2,127,521
200,1,10,0.45,0.75,3,406,2,127,521
200,1,10,0.45,0.75,3,406,2,127,521
200,2,10,0.45,0.75,3,389,19,8,640
200,2,10,0.45,0.75,3,389,19,8,640
200,2,10,0.45,0.75,3,389,19,8,640
200,2,10,0.45,0.75,3,389,19,8,640
200,2,10,0.45,0.75,3,389,19,8,640
200,5,10,0.45,0.75,3,388,20,8,640
200,5,10,0.45,0.75,3,389,19,8,640
200,5,10,0.45,0.75,3,389,19,8,640
200,5,10,0.45,0.75,3,387,21,8,640
200,5,10,0.45,0.75,3,388,20,8,640
200,10,10,0.45,0.75,3,388,20,8,640
200,10,10,0.45,0.75,3,389,19,8,640
200,10,10,0.45,0.75,3,389,19,8,640
200,10,10,0.45,0.75,3,387,21,8,640
200,10,10,0.45,0.75,3,388,20,8,640
200,15,10,0.45,0.75,3,389,19,8,640
200,15,10,0.45,0.75,3,389,19,8,640
200,15,10,0.45,0.75,3,389,19,8,640
200,15,10,0.45,0.75,3,388,20,8,640
200,15,10,0.45,0.75,3,389,19,8,640
200,25,10,0.45,0.75,3,389,19,8,640
200,25,10,0.45,0.75,3,388,20,8,640
200,25,10,0.45,0.75,3,388,20,8,640
200,25,10,0.45,0.75,3,388,20,8,640
200,25,10,0.45,0.75,3,388,20,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,388,20,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,388,20,8,640
200,100,10,0.45,0.75,3,389,19,8,640
200,100,10,0.45,0.75,3,388,20,8,640
200,100,10,0.45,0.75,3,387,21,8,640
200,100,10,0.45,0.75,3,389,19,8,640
200,100,10,0.45,0.75,3,389,19,8,640
200,200,10,0.45,0.75,3,389,19,8,640
200,200,10,0.45,0.75,3,388,20,8,640
200,200,10,0.45,0.75,3,389,19,8,640
200,200,10,0.45,0.75,3,389,19,8,640
200,200,10,0.45,0.75,3,389,19,8,640
200,500,10,0.45,0.75,3,389,19,8,640
200,500,10,0.45,0.75,3,389,19,8,640
200,500,10,0.45,0.75,3,389,19,8,640
200,500,10,0.45,0.75,3,389,19,8,640
200,500,10,0.45,0.75,3,388,20,8,640
