number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,50,1,0.45,0.75,3,388,20,7,641
200,50,1,0.45,0.75,3,384,24,7,641
200,50,1,0.45,0.75,3,385,23,6,642
200,50,1,0.45,0.75,3,384,24,7,641
200,50,1,0.45,0.75,3,387,21,8,640
200,50,2,0.45,0.75,3,391,17,7,641
200,50,2,0.45,0.75,3,389,19,7,641
200,50,2,0.45,0.75,3,387,21,8,640
200,50,2,0.45,0.75,3,392,16,9,639
200,50,2,0.45,0.75,3,389,19,8,640
200,50,5,0.45,0.75,3,388,20,8,640
200,50,5,0.45,0.75,3,386,22,8,640
200,50,5,0.45,0.75,3,389,19,8,640
200,50,5,0.45,0.75,3,389,19,8,640
200,50,5,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,388,20,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,388,20,8,640
200,50,10,0.45,0.75,3,388,20,8,640
200,50,15,0.45,0.75,3,388,20,8,640
200,50,15,0.45,0.75,3,389,19,8,640
200,50,15,0.45,0.75,3,388,20,8,640
200,50,15,0.45,0.75,3,389,19,8,640
200,50,15,0.45,0.75,3,386,22,8,640
200,50,20,0.45,0.75,3,389,19,8,640
200,50,20,0.45,0.75,3,389,19,8,640
200,50,20,0.45,0.75,3,387,21,8,640
200,50,20,0.45,0.75,3,384,24,7,641
200,50,20,0.45,0.75,3,389,19,8,640
200,50,30,0.45,0.75,3,378,30,3,645
200,50,30,0.45,0.75,3,378,30,3,645
200,50,30,0.45,0.75,3,378,30,3,645
200,50,30,0.45,0.75,3,378,30,3,645
200,50,30,0.45,0.75,3,378,30,3,645
200,50,50,0.45,0.75,3,406,2,127,521
200,50,50,0.45,0.75,3,406,2,127,521
200,50,50,0.45,0.75,3,406,2,127,521
200,50,50,0.45,0.75,3,406,2,127,521
200,50,50,0.45,0.75,3,406,2,127,521
200,50,75,0.45,0.75,3,406,2,127,521
200,50,75,0.45,0.75,3,406,2,127,521
200,50,75,0.45,0.75,3,403,5,126,522
200,50,75,0.45,0.75,3,403,5,126,522
200,50,75,0.45,0.75,3,403,5,126,522
200,50,100,0.45,0.75,3,0,408,0,648
200,50,100,0.45,0.75,3,0,408,0,648
200,50,100,0.45,0.75,3,0,408,0,648
200,50,100,0.45,0.75,3,0,408,0,648
200,50,100,0.45,0.75,3,0,408,0,648
