number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
1,50,10,0.45,0.75,3,378,30,57,591
1,50,10,0.45,0.75,3,378,30,3,645
1,50,10,0.45,0.75,3,390,18,8,640
1,50,10,0.45,0.75,3,397,11,9,639
1,50,10,0.45,0.75,3,378,30,3,645
2,50,10,0.45,0.75,3,399,9,11,637
2,50,10,0.45,0.75,3,378,30,3,645
2,50,10,0.45,0.75,3,404,4,13,635
2,50,10,0.45,0.75,3,404,4,13,635
2,50,10,0.45,0.75,3,389,19,8,640
5,50,10,0.45,0.75,3,390,18,8,640
5,50,10,0.45,0.75,3,389,19,8,640
5,50,10,0.45,0.75,3,379,29,3,645
5,50,10,0.45,0.75,3,378,30,3,645
5,50,10,0.45,0.75,3,392,16,9,639
10,50,10,0.45,0.75,3,400,8,11,637
10,50,10,0.45,0.75,3,389,19,8,640
10,50,10,0.45,0.75,3,389,19,8,640
10,50,10,0.45,0.75,3,380,28,4,644
10,50,10,0.45,0.75,3,382,26,6,642
15,50,10,0.45,0.75,3,390,18,8,640
15,50,10,0.45,0.75,3,390,18,8,640
15,50,10,0.45,0.75,3,389,19,8,640
15,50,10,0.45,0.75,3,389,19,8,640
15,50,10,0.45,0.75,3,381,27,7,641
25,50,10,0.45,0.75,3,387,21,7,641
25,50,10,0.45,0.75,3,382,26,8,640
25,50,10,0.45,0.75,3,382,26,6,642
25,50,10,0.45,0.75,3,389,19,8,640
25,50,10,0.45,0.75,3,385,23,6,642
50,50,10,0.45,0.75,3,389,19,8,640
50,50,10,0.45,0.75,3,390,18,8,640
50,50,10,0.45,0.75,3,387,21,8,640
50,50,10,0.45,0.75,3,392,16,8,640
50,50,10,0.45,0.75,3,389,19,8,640
100,50,10,0.45,0.75,3,389,19,8,640
100,50,10,0.45,0.75,3,395,13,9,639
100,50,10,0.45,0.75,3,388,20,8,640
100,50,10,0.45,0.75,3,389,19,8,640
100,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
500,50,10,0.45,0.75,3,389,19,8,640
500,50,10,0.45,0.75,3,388,20,8,640
500,50,10,0.45,0.75,3,388,20,8,640
500,50,10,0.45,0.75,3,389,19,8,640
500,50,10,0.45,0.75,3,389,19,8,640
