number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,50,10,0.1,0.75,3,389,19,8,640
200,50,10,0.1,0.75,3,384,24,7,641
200,50,10,0.1,0.75,3,389,19,8,640
200,50,10,0.1,0.75,3,389,19,8,640
200,50,10,0.1,0.75,3,389,19,8,640
200,50,10,0.2,0.75,3,388,20,8,640
200,50,10,0.2,0.75,3,388,20,8,640
200,50,10,0.2,0.75,3,389,19,8,640
200,50,10,0.2,0.75,3,389,19,8,640
200,50,10,0.2,0.75,3,388,20,8,640
200,50,10,0.3,0.75,3,389,19,8,640
200,50,10,0.3,0.75,3,389,19,8,640
200,50,10,0.3,0.75,3,388,20,8,640
200,50,10,0.3,0.75,3,389,19,8,640
200,50,10,0.3,0.75,3,388,20,8,640
200,50,10,0.4,0.75,3,389,19,8,640
200,50,10,0.4,0.75,3,389,19,8,640
200,50,10,0.4,0.75,3,389,19,8,640
200,50,10,0.4,0.75,3,389,19,8,640
200,50,10,0.4,0.75,3,389,19,8,640
200,50,10,0.5,0.75,3,389,19,8,640
200,50,10,0.5,0.75,3,389,19,8,640
200,50,10,0.5,0.75,3,388,20,8,640
200,50,10,0.5,0.75,3,389,19,8,640
200,50,10,0.5,0.75,3,389,19,8,640
200,50,10,0.6,0.75,3,388,20,8,640
200,50,10,0.6,0.75,3,389,19,8,640
200,50,10,0.6,0.75,3,389,19,8,640
200,50,10,0.6,0.75,3,389,19,8,640
200,50,10,0.6,0.75,3,387,21,8,640
200,50,10,0.7,0.75,3,389,19,8,640
200,50,10,0.7,0.75,3,389,19,8,640
200,50,10,0.7,0.75,3,389,19,8,640
200,50,10,0.7,0.75,3,389,19,8,640
200,50,10,0.7,0.75,3,389,19,8,640
200,50,10,0.8,0.75,3,388,20,8,640
200,50,10,0.8,0.75,3,389,19,8,640
200,50,10,0.8,0.75,3,388,20,8,640
200,50,10,0.8,0.75,3,389,19,8,640
200,50,10,0.8,0.75,3,389,19,8,640
200,50,10,0.9,0.75,3,389,19,8,640
200,50,10,0.9,0.75,3,389,19,8,640
200,50,10,0.9,0.75,3,388,20,8,640
200,50,10,0.9,0.75,3,389,19,8,640
200,50,10,0.9,0.75,3,389,19,8,640
200,50,10,1.0,0.75,3,389,19,8,640
200,50,10,1.0,0.75,3,388,20,8,640
200,50,10,1.0,0.75,3,389,19,8,640
200,50,10,1.0,0.75,3,389,19,8,640
200,50,10,1.0,0.75,3,386,22,8,640
