number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,50,10,0.45,0.1,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,433,112,0,0,0,0,192,319,0,0,0,0,12,146,2,0,0,0,1,14,0,0
200,50,10,0.45,0.1,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,444,101,0,0,0,0,187,324,0,0,0,0,12,144,4,0,0,0,1,14,0,0
200,50,10,0.45,0.1,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,450,95,0,0,0,0,202,309,0,0,0,0,16,142,2,0,0,0,0,15,0,0
200,50,10,0.45,0.1,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,448,97,0,0,0,0,211,299,1,0,0,0,13,143,4,0,0,0,0,14,1,0
200,50,10,0.45,0.1,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,440,105,0,0,0,0,191,320,0,0,0,0,15,142,3,0,0,0,0,15,0,0
200,50,10,0.45,0.2,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,436,109,0,0,0,0,176,332,3,0,0,0,11,141,8,0,0,0,0,15,0,0
200,50,10,0.45,0.2,3,0,0,6,2,0,0,0,0,33,10,0,0,0,0,440,105,0,0,0,0,189,318,4,0,0,0,11,138,11,0,0,0,0,14,1,0
200,50,10,0.45,0.2,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,452,93,0,0,0,0,196,311,4,0,0,0,13,135,12,0,0,0,0,14,1,0
200,50,10,0.45,0.2,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,447,98,0,0,0,0,190,317,4,0,0,0,11,137,12,0,0,0,0,13,2,0
200,50,10,0.45,0.2,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,442,103,0,0,0,0,181,327,3,0,0,0,11,137,12,0,0,0,0,15,0,0
200,50,10,0.45,0.3,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,441,104,0,0,0,0,186,317,8,0,0,0,12,132,16,0,0,0,0,12,3,0
200,50,10,0.45,0.3,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,452,93,0,0,0,0,189,314,8,0,0,0,11,130,19,0,0,0,0,12,3,0
200,50,10,0.45,0.3,3,0,0,6,2,0,0,0,0,30,13,0,0,0,0,438,107,0,0,0,0,176,328,7,0,0,0,11,134,15,0,0,0,0,12,3,0
200,50,10,0.45,0.3,3,0,0,6,2,0,0,0,0,33,10,0,0,0,0,439,106,0,0,0,0,171,331,9,0,0,0,11,126,23,0,0,0,0,12,3,0
200,50,10,0.45,0.3,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,442,102,1,0,0,0,179,325,7,0,0,0,12,128,20,0,0,0,0,13,2,0
200,50,10,0.45,0.4,3,0,0,7,1,0,0,0,0,29,14,0,0,0,0,441,103,1,0,0,0,185,315,11,0,0,0,11,127,22,0,0,0,0,12,3,0
