number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,1,10,0.45,0.75,3,0,0,8,0,0,0,0,0,32,11,0,0,0,0,485,60,0,0,0,0,293,218,0,0,0,0,36,124,0,0,0,0,2,13,0,0
200,1,10,0.45,0.75,3,0,0,8,0,0,0,0,0,29,14,0,0,0,0,485,60,0,0,0,0,291,220,0,0,0,0,36,124,0,0,0,0,2,13,0,0
200,1,10,0.45,0.75,3,0,0,8,0,0,0,0,0,32,11,0,0,0,0,485,60,0,0,0,0,293,218,0,0,0,0,36,124,0,0,0,0,2,13,0,0
200,1,10,0.45,0.75,3,0,0,8,0,0,0,0,0,31,12,0,0,0,0,485,60,0,0,0,0,295,216,0,0,0,0,36,124,0,0,0,0,2,13,0,0
200,1,10,0.45,0.75,3,0,0,8,0,0,0,0,0,31,12,0,0,0,0,485,60,0,0,0,0,292,219,0,0,0,0,36,124,0,0,0,0,2,13,0,0
200,2,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,444,101,0,0,0,0,227,279,5,0,0,0,16,136,8,0,0,0,0,14,1,0
200,2,10,0.45,0.75,3,0,0,6,2,0,0,0,0,29,14,0,0,0,0,434,111,0,0,0,0,223,281,7,0,0,0,15,137,8,0,0,0,0,14,1,0
200,2,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,441,103,1,0,0,0,228,275,8,0,0,0,17,125,18,0,0,0,0,13,2,0
200,2,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,437,108,0,0,0,0,220,289,2,0,0,0,12,141,7,0,0,0,0,14,1,0
200,2,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,438,106,1,0,0,0,222,285,4,0,0,0,15,138,7,0,0,0,0,13,2,0
200,5,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,435,108,2,0,0,0,187,302,22,0,0,0,14,116,30,0,0,0,0,11,4,0
200,5,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,437,105,3,0,0,0,182,304,25,0,0,0,10,115,35,0,0,0,0,11,4,0
200,5,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,437,106,2,0,0,0,190,296,25,0,0,0,10,117,33,0,0,0,0,11,4,0
200,5,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,434,108,3,0,0,0,185,300,26,0,0,0,13,112,35,0,0,0,0,10,5,0
200,5,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,426,116,3,0,0,0,190,291,30,0,0,0,14,109,37,0,0,0,0,10,5,0
200,10,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,439,104,2,0,0,0,187,296,28,0,0,0,13,106,41,0,0,0,0,9,6,0
200,10,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,430,112,3,0,0,0,181,303,27,0,0,0,14,110,36,0,0,0,0,11,4,0
200,10,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,429,114,2,0,0,0,188,302,21,0,0,0,14,114,32,0,0,0,0,12,3,0
200,10,10,0.45,0.75,3,0,0,7,1,0,0,0,0,29,14,0,0,0,0,428,114,3,0,0,0,186,302,23,0,0,0,11,117,32,0,0,0,0,11,4,0
200,10,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,432,110,3,0,0,0,181,304,26,0,0,0,12,111,37,0,0,0,0,10,5,0
200,15,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,439,103,3,0,0,0,194,292,25,0,0,0,16,107,37,0,0,0,0,11,4,0
200,15,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,433,110,2,0,0,0,187,301,23,0,0,0,11,121,28,0,0,0,0,11,4,0
200,15,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,438,105,2,0,0,0,192,298,21,0,0,0,12,116,32,0,0,0,0,11,4,0
