number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
1,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,29,13,1,0,0,0,345,197,3,0,0,0,222,249,40,0,0,0,46,72,42,0,0,0,4,7,4,0
1,50,10,0.45,0.75,3,0,0,5,3,0,0,0,0,21,22,0,0,0,0,276,265,4,0,0,0,145,340,26,0,0,0,15,101,44,0,0,0,0,9,6,0
1,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,37,3,3,0,0,0,445,89,11,0,0,0,258,197,56,0,0,0,26,91,43,0,0,0,0,8,7,0
1,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,31,12,0,0,0,0,453,91,1,0,0,0,275,214,22,0,0,0,30,107,23,0,0,0,1,12,2,0
1,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,33,8,2,0,0,0,459,76,10,0,0,0,274,182,55,0,0,0,30,73,57,0,0,0,3,7,5,0
2,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,30,13,0,0,0,0,394,142,9,0,0,0,224,258,29,0,0,0,25,104,31,0,0,0,0,12,3,0
2,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,35,7,1,0,0,0,388,149,8,0,0,0,201,267,43,0,0,0,30,93,37,0,0,0,3,4,8,0
2,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,27,16,0,0,0,0,385,156,4,0,0,0,193,280,38,0,0,0,28,97,35,0,0,0,0,12,3,0
2,50,10,0.45,0.75,3,0,0,4,4,0,0,0,0,25,16,2,0,0,0,375,155,15,0,0,0,196,274,41,0,0,0,22,104,34,0,0,0,0,12,3,0
2,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,30,12,1,0,0,0,418,112,15,0,0,0,203,262,46,0,0,0,24,90,46,0,0,0,0,10,5,0
5,50,10,0.45,0.75,3,0,0,4,4,0,0,0,0,26,17,0,0,0,0,392,149,4,0,0,0,150,328,33,0,0,0,20,94,46,0,0,0,2,10,3,0
5,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,9,1,0,0,0,398,143,4,0,0,0,184,314,13,0,0,0,20,115,25,0,0,0,0,14,1,0
5,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,437,107,1,0,0,0,225,261,25,0,0,0,16,117,27,0,0,0,0,13,2,0
5,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,34,8,1,0,0,0,423,119,3,0,0,0,200,290,21,0,0,0,20,110,30,0,0,0,0,13,2,0
5,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,29,14,0,0,0,0,440,100,5,0,0,0,216,269,26,0,0,0,25,100,35,0,0,0,2,9,4,0
10,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,31,11,1,0,0,0,434,107,4,0,0,0,179,301,31,0,0,0,16,101,43,0,0,0,1,10,4,0
10,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,435,108,2,0,0,0,201,278,32,0,0,0,19,103,38,0,0,0,0,12,3,0
10,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,27,16,0,0,0,0,419,125,1,0,0,0,189,307,15,0,0,0,16,123,21,0,0,0,0,13,2,0
10,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,29,14,0,0,0,0,427,115,3,0,0,0,196,279,36,0,0,0,21,96,43,0,0,0,0,10,5,0
10,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,26,17,0,0,0,0,405,138,2,0,0,0,173,303,35,0,0,0,14,105,41,0,0,0,0,9,6,0
15,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,29,14,0,0,0,0,445,98,2,0,0,0,215,268,28,0,0,0,17,101,42,0,0,0,0,10,5,0
15,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,415,126,4,0,0,0,178,309,24,0,0,0,18,105,37,0,0,0,0,12,3,0
15,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,28,14,1,0,0,0,405,138,2,0,0,0,199,288,24,0,0,0,15,121,24,0,0,0,0,11,4,0
15,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,9,1,0,0,0,438,104,3,0,0,0,199,280,32,0,0,0,17,98,45,0,0,0,0,10,5,0
15,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,418,124,3,0,0,0,171,312,28,0,0,0,16,111,33,0,0,0,0,12,3,0
25,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,434,108,3,0,0,0,183,304,24,0,0,0,11,114,35,0,0,0,0,12,3,0
25,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,30,12,1,0,0,0,427,113,5,0,0,0,170,299,42,0,0,0,14,95,51,0,0,0,0,9,6,0
