number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,50,10,0.1,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,439,104,2,0,0,0,181,306,24,0,0,0,15,113,32,0,0,0,0,12,3,0
200,50,10,0.1,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,446,97,2,0,0,0,183,306,22,0,0,0,12,118,30,0,0,0,0,12,3,0
200,50,10,0.1,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,445,98,2,0,0,0,192,293,26,0,0,0,14,107,39,0,0,0,0,11,4,0
200,50,10,0.1,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,437,106,2,0,0,0,181,307,23,0,0,0,12,112,36,0,0,0,0,11,4,0
200,50,10,0.1,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,429,113,3,0,0,0,185,301,25,0,0,0,13,111,36,0,0,0,0,10,5,0
200,50,10,0.2,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,443,99,3,0,0,0,183,301,27,0,0,0,11,111,38,0,0,0,0,10,5,0
200,50,10,0.2,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,431,112,2,0,0,0,184,305,22,0,0,0,12,115,33,0,0,0,0,11,4,0
200,50,10,0.2,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,441,101,3,0,0,0,181,307,23,0,0,0,12,115,33,0,0,0,0,11,4,0
200,50,10,0.2,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,434,109,2,0,0,0,173,311,27,0,0,0,13,114,33,0,0,0,0,11,4,0
200,50,10,0.2,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,432,110,3,0,0,0,186,296,29,0,0,0,11,111,38,0,0,0,0,11,4,0
200,50,10,0.3,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,440,102,3,0,0,0,177,310,24,0,0,0,14,114,32,0,0,0,0,11,4,0
200,50,10,0.3,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,430,112,3,0,0,0,190,300,21,0,0,0,13,113,34,0,0,0,0,11,4,0
200,50,10,0.3,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,432,111,2,0,0,0,180,314,17,0,0,0,11,118,31,0,0,0,0,12,3,0
200,50,10,0.3,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,431,112,2,0,0,0,185,300,26,0,0,0,10,113,37,0,0,0,0,10,5,0
200,50,10,0.3,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,436,106,3,0,0,0,187,301,23,0,0,0,15,115,30,0,0,0,0,12,3,0
200,50,10,0.4,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,437,105,3,0,0,0,189,299,23,0,0,0,13,114,33,0,0,0,0,10,5,0
200,50,10,0.4,0.75,3,0,0,7,1,0,0,0,0,31,11,1,0,0,0,440,103,2,0,0,0,193,292,26,0,0,0,15,113,32,0,0,0,0,12,3,0
200,50,10,0.4,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,433,109,3,0,0,0,178,312,21,0,0,0,16,113,31,0,0,0,0,12,3,0
200,50,10,0.4,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,439,103,3,0,0,0,181,306,24,0,0,0,11,114,35,0,0,0,0,11,4,0
200,50,10,0.4,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,437,105,3,0,0,0,199,284,28,0,0,0,13,107,40,0,0,0,0,10,5,0
200,50,10,0.5,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,434,108,3,0,0,0,185,304,22,0,0,0,12,111,37,0,0,0,0,11,4,0
200,50,10,0.5,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,434,109,2,0,0,0,184,301,26,0,0,0,13,110,37,0,0,0,0,9,6,0
200,50,10,0.5,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,431,112,2,0,0,0,193,293,25,0,0,0,12,115,33,0,0,0,0,11,4,0
200,50,10,0.5,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,427,116,2,0,0,0,182,306,23,0,0,0,12,114,34,0,0,0,0,11,4,0
