number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200.0,50.0,10.0,0.45,0.1,3.0,1972.8,28.2,79.0,1921.0
200.0,50.0,10.0,0.45,0.2,3.0,1974.0,27.0,79.0,1921.0
200.0,50.0,10.0,0.45,0.3,3.0,1965.6,35.4,77.0,1923.0
200.0,50.0,10.0,0.45,0.4,3.0,1964.0,37.0,76.2,1923.8
200.0,50.0,10.0,0.45,0.5,3.0,1957.8,43.2,84.4,1915.6
200.0,50.0,10.0,0.45,0.6,3.0,1955.6,45.4,95.8,1904.2
200.0,50.0,10.0,0.45,0.7,3.0,1957.6,43.4,96.0,1904.0
200.0,50.0,10.0,0.45,0.8,3.0,1960.2,40.8,100.6,1899.4
200.0,50.0,10.0,0.45,0.9,3.0,1961.8,39.2,106.2,1893.8
200.0,50.0,10.0,0.45,1.0,3.0,1961.2,39.8,105.8,1894.2
