number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200.0,50.0,10.0,0.45,0.1,3.0,1200.6,800.4,1200.0,800.0
200.0,50.0,10.0,0.45,0.2,3.0,1971.0,30.0,131.6,1868.4
200.0,50.0,10.0,0.45,0.3,3.0,1968.2,32.8,73.4,1926.6
200.0,50.0,10.0,0.45,0.4,3.0,1971.6,29.4,77.2,1922.8
200.0,50.0,10.0,0.45,0.5,3.0,1969.4,31.6,73.0,1927.0
200.0,50.0,10.0,0.45,0.6,3.0,1966.2,34.8,74.4,1925.6
200.0,50.0,10.0,0.45,0.7,3.0,1967.2,33.8,74.0,1926.0
200.0,50.0,10.0,0.45,0.8,3.0,1959.8,41.2,74.0,1926.0
200.0,50.0,10.0,0.45,0.9,3.0,1956.4,44.6,75.2,1924.8
200.0,50.0,10.0,0.45,1.0,3.0,1956.4,44.6,81.4,1918.6
