number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200.0,1.0,10.0,0.45,0.75,3.0,1949.8,51.2,80.2,1919.8
200.0,2.0,10.0,0.45,0.75,3.0,1983.6,17.4,92.8,1907.2
200.0,5.0,10.0,0.45,0.75,3.0,1966.2,34.8,74.0,1926.0
200.0,10.0,10.0,0.45,0.75,3.0,1962.4,38.6,73.8,1926.2
200.0,15.0,10.0,0.45,0.75,3.0,1959.4,41.6,74.0,1926.0
200.0,25.0,10.0,0.45,0.75,3.0,1959.8,41.2,69.6,1930.4
200.0,50.0,10.0,0.45,0.75,3.0,1959.2,41.8,71.8,1928.2
200.0,100.0,10.0,0.45,0.75,3.0,1963.6,37.4,72.4,1927.6
200.0,200.0,10.0,0.45,0.75,3.0,1961.6,39.4,76.8,1923.2
200.0,500.0,10.0,0.45,0.75,3.0,1961.0,40.0,75.6,1924.4
