number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
1.0,50.0,10.0,0.45,0.75,3.0,1910.4,90.6,97.4,1902.6
2.0,50.0,10.0,0.45,0.75,3.0,1930.4,70.6,81.6,1918.4
5.0,50.0,10.0,0.45,0.75,3.0,1924.6,76.4,84.4,1915.6
10.0,50.0,10.0,0.45,0.75,3.0,1947.2,53.8,93.0,1907.0
15.0,50.0,10.0,0.45,0.75,3.0,1944.0,57.0,96.8,1903.2
25.0,50.0,10.0,0.45,0.75,3.0,1941.8,59.2,94.0,1906.0
50.0,50.0,10.0,0.45,0.75,3.0,1953.8,47.2,101.0,1899.0
100.0,50.0,10.0,0.45,0.75,3.0,1948.8,52.2,95.4,1904.6
200.0,50.0,10.0,0.45,0.75,3.0,1958.6,42.4,99.2,1900.8
500.0,50.0,10.0,0.45,0.75,3.0,1958.2,42.8,100.4,1899.6
