number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
1.0,50.0,10.0,0.45,0.75,3.0,1882.4,118.6,131.4,1868.6
2.0,50.0,10.0,0.45,0.75,3.0,1881.6,119.4,129.4,1870.6
5.0,50.0,10.0,0.45,0.75,3.0,1936.8,64.2,69.0,1931.0
10.0,50.0,10.0,0.45,0.75,3.0,1936.6,64.4,72.8,1927.2
15.0,50.0,10.0,0.45,0.75,3.0,1942.4,58.6,66.2,1933.8
25.0,50.0,10.0,0.45,0.75,3.0,1950.8,50.2,71.0,1929.0
50.0,50.0,10.0,0.45,0.75,3.0,1959.4,41.6,73.4,1926.6
100.0,50.0,10.0,0.45,0.75,3.0,1955.6,45.4,70.6,1929.4
200.0,50.0,10.0,0.45,0.75,3.0,1961.6,39.4,73.0,1927.0
500.0,50.0,10.0,0.45,0.75,3.0,1964.8,36.2,74.2,1925.8
