number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200.0,50.0,10.0,0.1,0.75,3.0,1958.6,42.4,100.6,1899.4
200.0,50.0,10.0,0.2,0.75,3.0,1958.8,42.2,102.4,1897.6
200.0,50.0,10.0,0.3,0.75,3.0,1958.8,42.2,100.0,1900.0
200.0,50.0,10.0,0.4,0.75,3.0,1957.6,43.4,100.6,1899.4
200.0,50.0,10.0,0.5,0.75,3.0,1956.0,45.0,98.0,1902.0
200.0,50.0,10.0,0.6,0.75,3.0,1956.4,44.6,98.8,1901.2
200.0,50.0,10.0,0.7,0.75,3.0,1956.2,44.8,97.8,1902.2
200.0,50.0,10.0,0.8,0.75,3.0,1955.6,45.4,98.0,1902.0
200.0,50.0,10.0,0.9,0.75,3.0,1958.4,42.6,98.8,1901.2
200.0,50.0,10.0,1.0,0.75,3.0,1958.8,42.2,100.6,1899.4
