number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200.0,50.0,10.0,0.45,0.1,3.0,44.8,363.2,5.0,643.0
200.0,50.0,10.0,0.45,0.2,3.0,35.8,372.2,5.6,642.4
200.0,50.0,10.0,0.45,0.3,3.0,191.6,216.4,6.4,641.6
200.0,50.0,10.0,0.45,0.4,3.0,316.0,92.0,10.6,637.4
200.0,50.0,10.0,0.45,0.5,3.0,377.8,30.2,9.6,638.4
200.0,50.0,10.0,0.45,0.6,3.0,381.8,26.2,11.2,636.8
200.0,50.0,10.0,0.45,0.7,3.0,388.8,19.2,9.4,638.6
200.0,50.0,10.0,0.45,0.8,3.0,390.4,17.6,9.6,638.4
200.0,50.0,10.0,0.45,0.9,3.0,392.4,15.6,8.8,639.2
200.0,50.0,10.0,0.45,1.0,3.0,392.2,15.8,8.6,639.4
