number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200.0,1.0,10.0,0.45,0.75,3.0,371.8,36.2,23.8,624.2
200.0,2.0,10.0,0.45,0.75,3.0,385.2,22.8,14.8,633.2
200.0,5.0,10.0,0.45,0.75,3.0,393.0,15.0,11.2,636.8
200.0,10.0,10.0,0.45,0.75,3.0,391.2,16.8,9.2,638.8
200.0,15.0,10.0,0.45,0.75,3.0,393.6,14.4,10.8,637.2
200.0,25.0,10.0,0.45,0.75,3.0,392.0,16.0,10.0,638.0
200.0,50.0,10.0,0.45,0.75,3.0,392.0,16.0,9.2,638.8
200.0,100.0,10.0,0.45,0.75,3.0,390.4,17.6,9.0,639.0
200.0,200.0,10.0,0.45,0.75,3.0,391.4,16.6,10.4,637.6
200.0,500.0,10.0,0.45,0.75,3.0,393.6,14.4,10.4,637.6
