number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200.0,50.0,1.0,0.45,0.75,3.0,385.6,22.4,7.0,641.0
200.0,50.0,2.0,0.45,0.75,3.0,389.6,18.4,7.8,640.2
200.0,50.0,5.0,0.45,0.75,3.0,388.2,19.8,8.0,640.0
200.0,50.0,10.0,0.45,0.75,3.0,388.4,19.6,8.0,640.0
200.0,50.0,15.0,0.45,0.75,3.0,388.0,20.0,8.0,640.0
200.0,50.0,20.0,0.45,0.75,3.0,387.6,20.4,7.8,640.2
200.0,50.0,30.0,0.45,0.75,3.0,378.0,30.0,3.0,645.0
200.0,50.0,50.0,0.45,0.75,3.0,406.0,2.0,127.0,521.0
200.0,50.0,75.0,0.45,0.75,3.0,404.2,3.8,126.4,521.6
200.0,50.0,100.0,0.45,0.75,3.0,0.0,408.0,0.0,648.0
