number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200.0,50.0,10.0,0.1,0.75,3.0,391.6,16.4,8.8,639.2
200.0,50.0,10.0,0.2,0.75,3.0,392.0,16.0,10.2,637.8
200.0,50.0,10.0,0.3,0.75,3.0,393.2,14.8,10.2,637.8
200.0,50.0,10.0,0.4,0.75,3.0,392.2,15.8,10.0,638.0
200.0,50.0,10.0,0.5,0.75,3.0,394.0,14.0,10.8,637.2
200.0,50.0,10.0,0.6,0.75,3.0,393.2,14.8,10.6,637.4
200.0,50.0,10.0,0.7,0.75,3.0,391.6,16.4,9.4,638.6
200.0,50.0,10.0,0.8,0.75,3.0,393.6,14.4,9.2,638.8
200.0,50.0,10.0,0.9,0.75,3.0,391.0,17.0,8.0,640.0
200.0,50.0,10.0,1.0,0.75,3.0,391.6,16.4,8.8,639.2
