number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200.0,1.0,10.0,0.45,0.75,3.0,0.0,0.0,7.2,0.8,0.0,0.0,0.0,0.0,34.6,8.4,0.0,0.0,0.0,0.0,451.8,93.2,0.0,0.0,0.0,0.0,234.0,277.0,0.0,0.0,0.0,0.0,15.8,144.2,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
200.0,2.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,34.2,8.8,0.0,0.0,0.0,0.0,453.2,91.8,0.0,0.0,0.0,0.0,224.8,286.2,0.0,0.0,0.0,0.0,13.8,145.8,0.4,0.0,0.0,0.0,0.0,15.0,0.0,0.0
200.0,5.0,10.0,0.45,0.75,3.0,0.0,0.0,7.2,0.8,0.0,0.0,0.0,0.0,32.2,10.8,0.0,0.0,0.0,0.0,445.0,99.8,0.2,0.0,0.0,0.0,202.2,302.2,6.6,0.0,0.0,0.0,14.4,134.0,11.6,0.0,0.0,0.0,0.0,13.4,1.6,0.0
200.0,10.0,10.0,0.45,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,32.6,10.2,0.2,0.0,0.0,0.0,448.6,95.2,1.2,0.0,0.0,0.0,192.4,304.2,14.4,0.0,0.0,0.0,13.8,118.8,27.4,0.0,0.0,0.0,0.0,11.6,3.4,0.0
200.0,15.0,10.0,0.45,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,32.4,10.4,0.2,0.0,0.0,0.0,453.4,90.6,1.0,0.0,0.0,0.0,192.8,304.2,14.0,0.0,0.0,0.0,15.4,119.4,25.2,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,25.0,10.0,0.45,0.75,3.0,0.0,0.0,7.2,0.8,0.0,0.0,0.0,0.0,33.0,9.8,0.2,0.0,0.0,0.0,457.8,86.2,1.0,0.0,0.0,0.0,196.4,298.4,16.2,0.0,0.0,0.0,15.6,118.6,25.8,0.0,0.0,0.0,0.0,11.6,3.4,0.0
200.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,32.8,10.0,0.2,0.0,0.0,0.0,457.8,86.4,0.8,0.0,0.0,0.0,192.6,306.2,12.2,0.0,0.0,0.0,15.6,117.8,26.6,0.0,0.0,0.0,0.0,11.2,3.8,0.0
200.0,100.0,10.0,0.45,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,34.0,8.8,0.2,0.0,0.0,0.0,454.4,90.0,0.6,0.0,0.0,0.0,189.6,306.6,14.8,0.0,0.0,0.0,16.4,117.6,26.0,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,200.0,10.0,0.45,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,32.2,10.4,0.4,0.0,0.0,0.0,454.6,88.6,1.8,0.0,0.0,0.0,190.2,305.4,15.4,0.0,0.0,0.0,13.6,117.8,28.6,0.0,0.0,0.0,0.0,12.2,2.8,0.0
200.0,500.0,10.0,0.45,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,33.0,10.0,0.0,0.0,0.0,0.0,449.2,94.6,1.2,0.0,0.0,0.0,186.8,309.6,14.6,0.0,0.0,0.0,14.6,118.4,27.0,0.0,0.0,0.0,0.0,11.2,3.8,0.0
