number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
1.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,6.4,1.6,0.0,0.0,0.0,0.0,30.2,11.6,1.2,0.0,0.0,0.0,395.6,143.6,5.8,0.0,0.0,0.0,234.8,236.4,39.8,0.0,0.0,0.0,29.4,88.8,41.8,0.0,0.0,0.0,1.6,8.6,4.8,0.0
2.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,6.2,1.8,0.0,0.0,0.0,0.0,29.4,12.8,0.8,0.0,0.0,0.0,392.0,142.8,10.2,0.0,0.0,0.0,203.4,268.2,39.4,0.0,0.0,0.0,25.8,97.6,36.6,0.0,0.0,0.0,0.6,10.0,4.4,0.0
5.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,6.4,1.6,0.0,0.0,0.0,0.0,30.8,11.8,0.4,0.0,0.0,0.0,418.0,123.6,3.4,0.0,0.0,0.0,195.0,292.4,23.6,0.0,0.0,0.0,20.2,107.2,32.6,0.0,0.0,0.0,0.8,11.8,2.4,0.0
10.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,6.8,1.2,0.0,0.0,0.0,0.0,29.4,13.4,0.2,0.0,0.0,0.0,424.0,118.6,2.4,0.0,0.0,0.0,187.6,293.6,29.8,0.0,0.0,0.0,17.2,105.6,37.2,0.0,0.0,0.0,0.2,10.8,4.0,0.0
15.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.4,12.2,0.4,0.0,0.0,0.0,424.2,118.0,2.8,0.0,0.0,0.0,192.4,291.4,27.2,0.0,0.0,0.0,16.6,107.2,36.2,0.0,0.0,0.0,0.0,11.0,4.0,0.0
25.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,29.6,13.2,0.2,0.0,0.0,0.0,428.0,114.0,3.0,0.0,0.0,0.0,182.6,304.8,23.6,0.0,0.0,0.0,12.8,111.6,35.6,0.0,0.0,0.0,0.0,11.0,4.0,0.0
50.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.2,0.8,0.0,0.0,0.0,0.0,30.8,12.0,0.2,0.0,0.0,0.0,431.0,111.6,2.4,0.0,0.0,0.0,180.4,307.4,23.2,0.0,0.0,0.0,12.2,113.2,34.6,0.0,0.0,0.0,0.0,10.8,4.2,0.0
100.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.8,12.0,0.2,0.0,0.0,0.0,431.2,111.8,2.0,0.0,0.0,0.0,183.6,301.8,25.6,0.0,0.0,0.0,14.0,112.8,33.2,0.0,0.0,0.0,0.0,11.0,4.0,0.0
200.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0,12.8,0.2,0.0,0.0,0.0,439.6,103.2,2.2,0.0,0.0,0.0,186.0,300.8,24.2,0.0,0.0,0.0,13.4,114.2,32.4,0.0,0.0,0.0,0.0,11.2,3.8,0.0
500.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,435.4,107.0,2.6,0.0,0.0,0.0,183.6,304.0,23.4,0.0,0.0,0.0,11.2,114.8,34.0,0.0,0.0,0.0,0.0,11.8,3.2,0.0
