number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
1.0,50.0,10.0,0.45,0.75,3.0,0.8,0.4,4.2,2.4,0.2,0.0,1.6,1.6,25.2,12.2,2.4,0.0,8.6,23.8,327.2,161.8,23.6,0.0,2.4,18.0,184.2,245.8,60.0,0.6,0.2,1.4,27.8,90.0,40.2,0.4,0.0,0.0,1.0,9.2,4.8,0.0
2.0,50.0,10.0,0.45,0.75,3.0,0.0,0.8,5.4,1.8,0.0,0.0,0.0,1.0,24.4,14.4,3.2,0.0,0.4,6.6,332.6,181.0,24.4,0.0,0.0,5.6,216.2,224.0,65.2,0.0,0.0,0.8,35.2,73.4,50.6,0.0,0.0,0.0,3.0,7.0,5.0,0.0
5.0,50.0,10.0,0.45,0.75,3.0,0.0,0.2,6.0,1.8,0.0,0.0,0.0,0.0,28.2,13.6,1.2,0.0,0.0,1.2,377.8,157.8,8.2,0.0,0.0,1.2,200.0,276.6,33.2,0.0,0.0,0.0,30.4,98.0,31.0,0.6,0.0,0.0,1.0,10.0,4.0,0.0
10.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.2,31.8,10.8,0.2,0.0,0.0,0.2,416.6,124.4,3.8,0.0,0.0,0.4,222.0,261.2,27.4,0.0,0.0,0.0,29.4,97.2,33.4,0.0,0.0,0.0,1.0,9.0,5.0,0.0
15.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,6.6,1.4,0.0,0.0,0.0,0.0,31.2,11.2,0.6,0.0,0.0,0.0,417.8,122.4,4.8,0.0,0.0,0.0,202.0,289.0,20.0,0.0,0.0,0.0,22.0,110.2,27.8,0.0,0.0,0.0,1.2,10.6,3.2,0.0
25.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,32.0,10.6,0.4,0.0,0.0,0.0,430.6,112.0,2.4,0.0,0.0,0.0,201.8,294.8,14.4,0.0,0.0,0.0,19.2,110.0,30.8,0.0,0.0,0.0,0.6,11.4,3.0,0.0
50.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.2,0.8,0.0,0.0,0.0,0.0,32.4,10.4,0.2,0.0,0.0,0.0,440.2,103.6,1.2,0.0,0.0,0.0,189.6,306.8,14.6,0.0,0.0,0.0,16.6,112.0,31.4,0.0,0.0,0.0,0.0,12.0,3.0,0.0
100.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,32.6,10.2,0.2,0.0,0.0,0.0,451.6,92.6,0.8,0.0,0.0,0.0,199.8,292.0,19.2,0.0,0.0,0.0,14.8,119.2,26.0,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.2,0.8,0.0,0.0,0.0,0.0,33.4,9.4,0.2,0.0,0.0,0.0,452.2,91.2,1.6,0.0,0.0,0.0,196.8,299.6,14.6,0.0,0.0,0.0,15.6,118.2,26.2,0.0,0.0,0.0,0.0,11.8,3.2,0.0
500.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,32.8,10.2,0.0,0.0,0.0,0.0,458.2,86.2,0.6,0.0,0.0,0.0,193.0,304.4,13.6,0.0,0.0,0.0,14.4,118.4,27.2,0.0,0.0,0.0,0.0,11.6,3.4,0.0
