number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200.0,50.0,10.0,0.45,0.1,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,33.2,9.8,0.0,0.0,0.0,0.0,443.0,102.0,0.0,0.0,0.0,0.0,196.6,314.2,0.2,0.0,0.0,0.0,13.6,143.4,3.0,0.0,0.0,0.0,0.4,14.4,0.2,0.0
200.0,50.0,10.0,0.45,0.2,3.0,0.0,0.0,6.8,1.2,0.0,0.0,0.0,0.0,33.0,10.0,0.0,0.0,0.0,0.0,443.4,101.6,0.0,0.0,0.0,0.0,186.4,321.0,3.6,0.0,0.0,0.0,11.4,137.6,11.0,0.0,0.0,0.0,0.0,14.2,0.8,0.0
200.0,50.0,10.0,0.45,0.3,3.0,0.0,0.0,6.6,1.4,0.0,0.0,0.0,0.0,32.0,11.0,0.0,0.0,0.0,0.0,442.4,102.4,0.2,0.0,0.0,0.0,180.2,323.0,7.8,0.0,0.0,0.0,11.4,130.0,18.6,0.0,0.0,0.0,0.0,12.2,2.8,0.0
200.0,50.0,10.0,0.45,0.4,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.6,12.4,0.0,0.0,0.0,0.0,440.6,103.4,1.0,0.0,0.0,0.0,180.8,318.4,11.8,0.0,0.0,0.0,11.4,122.2,26.4,0.0,0.0,0.0,0.0,12.0,3.0,0.0
200.0,50.0,10.0,0.45,0.5,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,443.6,99.4,2.0,0.0,0.0,0.0,180.2,313.0,17.8,0.0,0.0,0.0,12.2,118.0,29.8,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.45,0.6,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,29.8,13.2,0.0,0.0,0.0,0.0,436.8,105.8,2.4,0.0,0.0,0.0,179.0,313.4,18.6,0.0,0.0,0.0,10.4,120.2,29.4,0.0,0.0,0.0,0.0,11.8,3.2,0.0
200.0,50.0,10.0,0.45,0.7,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,29.8,13.2,0.0,0.0,0.0,0.0,434.0,108.4,2.6,0.0,0.0,0.0,178.8,310.4,21.8,0.0,0.0,0.0,10.8,114.8,34.4,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.45,0.8,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.8,0.0,0.0,0.0,0.0,433.2,109.4,2.4,0.0,0.0,0.0,182.2,305.6,23.2,0.0,0.0,0.0,11.8,113.4,34.8,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.45,0.9,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.6,12.4,0.0,0.0,0.0,0.0,436.0,106.6,2.4,0.0,0.0,0.0,179.8,306.0,25.2,0.0,0.0,0.0,11.2,115.4,33.4,0.0,0.0,0.0,0.0,10.8,4.2,0.0
200.0,50.0,10.0,0.45,1.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,29.4,13.4,0.2,0.0,0.0,0.0,434.8,107.4,2.8,0.0,0.0,0.0,187.0,297.0,27.0,0.0,0.0,0.0,10.0,114.4,35.6,0.0,0.0,0.0,0.0,10.8,4.2,0.0
