number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200.0,1.0,10.0,0.45,0.75,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,31.0,12.0,0.0,0.0,0.0,0.0,485.0,60.0,0.0,0.0,0.0,0.0,292.8,218.2,0.0,0.0,0.0,0.0,36.0,124.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0
200.0,2.0,10.0,0.45,0.75,3.0,0.0,0.0,6.8,1.2,0.0,0.0,0.0,0.0,29.8,13.2,0.0,0.0,0.0,0.0,438.8,105.8,0.4,0.0,0.0,0.0,224.0,281.8,5.2,0.0,0.0,0.0,15.0,135.4,9.6,0.0,0.0,0.0,0.0,13.6,1.4,0.0
200.0,5.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.8,0.0,0.0,0.0,0.0,433.8,108.6,2.6,0.0,0.0,0.0,186.8,298.6,25.6,0.0,0.0,0.0,12.2,113.8,34.0,0.0,0.0,0.0,0.0,10.6,4.4,0.0
200.0,10.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,431.6,110.8,2.6,0.0,0.0,0.0,184.6,301.4,25.0,0.0,0.0,0.0,12.8,111.6,35.6,0.0,0.0,0.0,0.0,10.6,4.4,0.0
200.0,15.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.8,0.0,0.0,0.0,0.0,435.4,107.2,2.4,0.0,0.0,0.0,191.2,296.2,23.6,0.0,0.0,0.0,12.4,115.4,32.2,0.0,0.0,0.0,0.0,11.2,3.8,0.0
200.0,25.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.6,0.2,0.0,0.0,0.0,436.0,106.2,2.8,0.0,0.0,0.0,185.6,299.4,26.0,0.0,0.0,0.0,12.4,109.6,38.0,0.0,0.0,0.0,0.0,10.2,4.8,0.0
200.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0,12.8,0.2,0.0,0.0,0.0,429.4,113.0,2.6,0.0,0.0,0.0,182.6,304.2,24.2,0.0,0.0,0.0,11.6,114.6,33.8,0.0,0.0,0.0,0.0,11.0,4.0,0.0
200.0,100.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,432.2,110.6,2.2,0.0,0.0,0.0,189.2,299.8,22.0,0.0,0.0,0.0,11.6,116.4,32.0,0.0,0.0,0.0,0.0,11.6,3.4,0.0
200.0,200.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,435.0,107.4,2.6,0.0,0.0,0.0,188.4,300.0,22.6,0.0,0.0,0.0,11.6,114.0,34.4,0.0,0.0,0.0,0.0,11.0,4.0,0.0
200.0,500.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.6,12.4,0.0,0.0,0.0,0.0,433.4,109.2,2.4,0.0,0.0,0.0,185.8,304.0,21.2,0.0,0.0,0.0,13.6,114.8,31.6,0.0,0.0,0.0,0.0,12.0,3.0,0.0
