number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200.0,50.0,10.0,0.1,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.8,0.0,0.0,0.0,0.0,439.2,103.6,2.2,0.0,0.0,0.0,184.4,302.6,24.0,0.0,0.0,0.0,13.2,112.2,34.6,0.0,0.0,0.0,0.0,11.2,3.8,0.0
200.0,50.0,10.0,0.2,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.8,0.0,0.0,0.0,0.0,436.2,106.2,2.6,0.0,0.0,0.0,181.4,304.0,25.6,0.0,0.0,0.0,11.8,113.2,35.0,0.0,0.0,0.0,0.0,10.8,4.2,0.0
200.0,50.0,10.0,0.3,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.4,12.6,0.0,0.0,0.0,0.0,433.8,108.6,2.6,0.0,0.0,0.0,183.8,305.0,22.2,0.0,0.0,0.0,12.6,114.6,32.8,0.0,0.0,0.0,0.0,11.2,3.8,0.0
200.0,50.0,10.0,0.4,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.6,0.2,0.0,0.0,0.0,437.2,105.0,2.8,0.0,0.0,0.0,188.0,298.6,24.4,0.0,0.0,0.0,13.6,112.2,34.2,0.0,0.0,0.0,0.0,11.0,4.0,0.0
200.0,50.0,10.0,0.5,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.8,0.0,0.0,0.0,0.0,431.6,111.2,2.2,0.0,0.0,0.0,185.2,301.6,24.2,0.0,0.0,0.0,12.2,112.6,35.2,0.0,0.0,0.0,0.0,10.6,4.4,0.0
200.0,50.0,10.0,0.6,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,29.8,13.2,0.0,0.0,0.0,0.0,431.6,111.0,2.4,0.0,0.0,0.0,183.6,303.0,24.4,0.0,0.0,0.0,11.6,114.6,33.8,0.0,0.0,0.0,0.0,11.0,4.0,0.0
200.0,50.0,10.0,0.7,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.8,0.0,0.0,0.0,0.0,434.4,108.0,2.6,0.0,0.0,0.0,185.2,301.6,24.2,0.0,0.0,0.0,12.6,111.6,35.8,0.0,0.0,0.0,0.0,11.0,4.0,0.0
200.0,50.0,10.0,0.8,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,435.6,107.0,2.4,0.0,0.0,0.0,186.4,300.6,24.0,0.0,0.0,0.0,10.4,113.6,36.0,0.0,0.0,0.0,0.0,10.4,4.6,0.0
200.0,50.0,10.0,0.9,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.6,0.2,0.0,0.0,0.0,433.8,108.2,3.0,0.0,0.0,0.0,184.6,300.8,25.6,0.0,0.0,0.0,12.4,112.2,35.4,0.0,0.0,0.0,0.0,11.0,4.0,0.0
200.0,50.0,10.0,1.0,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,429.4,113.4,2.2,0.0,0.0,0.0,181.4,306.0,23.6,0.0,0.0,0.0,11.8,113.8,34.4,0.0,0.0,0.0,0.0,11.0,4.0,0.0
