number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200.0,50.0,10.0,0.1,0.75,3.0,0.0,0.0,7.8,0.2,0.0,0.0,0.0,0.0,33.4,9.6,0.0,0.0,0.0,0.0,455.4,89.0,0.6,0.0,0.0,0.0,192.2,307.6,11.2,0.0,0.0,0.0,14.2,121.0,24.8,0.0,0.0,0.0,0.0,11.6,3.4,0.0
200.0,50.0,10.0,0.2,0.75,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,33.8,9.0,0.2,0.0,0.0,0.0,458.0,86.2,0.8,0.0,0.0,0.0,199.2,300.8,11.0,0.0,0.0,0.0,16.4,117.8,25.8,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.3,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,32.4,10.4,0.2,0.0,0.0,0.0,453.4,91.0,0.6,0.0,0.0,0.0,188.4,312.0,10.6,0.0,0.0,0.0,13.8,120.8,25.4,0.0,0.0,0.0,0.0,12.0,3.0,0.0
200.0,50.0,10.0,0.4,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,32.8,10.2,0.0,0.0,0.0,0.0,456.4,86.6,2.0,0.0,0.0,0.0,190.8,307.6,12.6,0.0,0.0,0.0,13.2,119.0,27.8,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.5,0.75,3.0,0.0,0.0,7.8,0.2,0.0,0.0,0.0,0.0,33.8,9.0,0.2,0.0,0.0,0.0,456.0,88.2,0.8,0.0,0.0,0.0,190.4,304.4,16.2,0.0,0.0,0.0,15.2,116.2,28.6,0.0,0.0,0.0,0.0,11.6,3.4,0.0
200.0,50.0,10.0,0.6,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,31.8,11.0,0.2,0.0,0.0,0.0,457.0,86.6,1.4,0.0,0.0,0.0,198.4,295.0,17.6,0.0,0.0,0.0,14.8,116.2,29.0,0.0,0.0,0.0,0.0,11.6,3.4,0.0
200.0,50.0,10.0,0.7,0.75,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,33.8,9.2,0.0,0.0,0.0,0.0,453.2,90.0,1.8,0.0,0.0,0.0,191.0,303.2,16.8,0.0,0.0,0.0,16.2,114.2,29.6,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.8,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,33.4,9.6,0.0,0.0,0.0,0.0,452.4,90.8,1.8,0.0,0.0,0.0,189.6,301.0,20.4,0.0,0.0,0.0,15.8,111.2,33.0,0.0,0.0,0.0,0.0,10.8,4.2,0.0
200.0,50.0,10.0,0.9,0.75,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,31.8,11.2,0.0,0.0,0.0,0.0,453.8,89.2,2.0,0.0,0.0,0.0,194.2,292.6,24.2,0.0,0.0,0.0,18.6,107.2,34.2,0.0,0.0,0.0,0.0,10.4,4.6,0.0
200.0,50.0,10.0,1.0,0.75,3.0,0.0,0.0,7.8,0.2,0.0,0.0,0.0,0.0,32.2,10.2,0.6,0.0,0.0,0.0,453.0,90.0,2.0,0.0,0.0,0.0,187.0,299.8,24.2,0.0,0.0,0.0,17.0,108.4,34.6,0.0,0.0,0.0,0.0,10.4,4.6,0.0
