number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,50,10,0.45,0.1,3,2001,0,2000,0
200,50,10,0.45,0.1,3,2001,0,2000,0
200,50,10,0.45,0.1,3,2001,0,2000,0
200,50,10,0.45,0.1,3,0,2001,0,2000
200,50,10,0.45,0.1,3,0,2001,0,2000
200,50,10,0.45,0.2,3,1970,31,104,1896
200,50,10,0.45,0.2,3,1957,44,101,1899
200,50,10,0.45,0.2,3,1976,25,174,1826
200,50,10,0.45,0.2,3,1971,30,144,1856
200,50,10,0.45,0.2,3,1981,20,135,1865
200,50,10,0.45,0.3,3,1966,35,72,1928
200,50,10,0.45,0.3,3,1963,38,65,1935
200,50,10,0.45,0.3,3,1979,22,82,1918
200,50,10,0.45,0.3,3,1958,43,70,1930
200,50,10,0.45,0.3,3,1975,26,78,1922
200,50,10,0.45,0.4,3,1965,36,73,1927
200,50,10,0.45,0.4,3,1961,40,74,1926
200,50,10,0.45,0.4,3,1979,22,83,1917
200,50,10,0.45,0.4,3,1978,23,73,1927
200,50,10,0.45,0.4,3,1975,26,83,1917
200,50,10,0.45,0.5,3,1976,25,75,1925
200,50,10,0.45,0.5,3,1967,34,70,1930
200,50,10,0.45,0.5,3,1965,36,72,1928
200,50,10,0.45,0.5,3,1972,29,73,1927
200,50,10,0.45,0.5,3,1967,34,75,1925
200,50,10,0.45,0.6,3,1963,38,75,1925
200,50,10,0.45,0.6,3,1968,33,75,1925
200,50,10,0.45,0.6,3,1960,41,68,1932
200,50,10,0.45,0.6,3,1970,31,76,1924
200,50,10,0.45,0.6,3,1970,31,78,1922
200,50,10,0.45,0.7,3,1971,30,72,1928
200,50,10,0.45,0.7,3,1971,30,79,1921
200,50,10,0.45,0.7,3,1965,36,75,1925
200,50,10,0.45,0.7,3,1967,34,69,1931
200,50,10,0.45,0.7,3,1962,39,75,1925
200,50,10,0.45,0.8,3,1952,49,72,1928
200,50,10,0.45,0.8,3,1951,50,71,1929
200,50,10,0.45,0.8,3,1962,39,74,1926
200,50,10,0.45,0.8,3,1969,32,78,1922
200,50,10,0.45,0.8,3,1965,36,75,1925
200,50,10,0.45,0.9,3,1961,40,73,1927
200,50,10,0.45,0.9,3,1947,54,71,1929
200,50,10,0.45,0.9,3,1957,44,77,1923
200,50,10,0.45,0.9,3,1957,44,78,1922
200,50,10,0.45,0.9,3,1960,41,77,1923
200,50,10,0.45,1.0,3,1957,44,79,1921
200,50,10,0.45,1.0,3,1957,44,82,1918
200,50,10,0.45,1.0,3,1957,44,85,1915
200,50,10,0.45,1.0,3,1955,46,81,1919
200,50,10,0.45,1.0,3,1956,45,80,1920
