number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,1,10,0.45,0.75,3,1942,59,63,1937
200,1,10,0.45,0.75,3,1977,24,94,1906
200,1,10,0.45,0.75,3,1947,54,83,1917
200,1,10,0.45,0.75,3,1932,69,76,1924
200,1,10,0.45,0.75,3,1951,50,85,1915
200,2,10,0.45,0.75,3,1984,17,97,1903
200,2,10,0.45,0.75,3,1983,18,94,1906
200,2,10,0.45,0.75,3,1981,20,92,1908
200,2,10,0.45,0.75,3,1985,16,89,1911
200,2,10,0.45,0.75,3,1985,16,92,1908
200,5,10,0.45,0.75,3,1969,32,77,1923
200,5,10,0.45,0.75,3,1966,35,74,1926
200,5,10,0.45,0.75,3,1961,40,68,1932
200,5,10,0.45,0.75,3,1968,33,75,1925
200,5,10,0.45,0.75,3,1967,34,76,1924
200,10,10,0.45,0.75,3,1957,44,69,1931
200,10,10,0.45,0.75,3,1961,40,71,1929
200,10,10,0.45,0.75,3,1968,33,74,1926
200,10,10,0.45,0.75,3,1965,36,77,1923
200,10,10,0.45,0.75,3,1961,40,78,1922
200,15,10,0.45,0.75,3,1959,42,77,1923
200,15,10,0.45,0.75,3,1957,44,72,1928
200,15,10,0.45,0.75,3,1967,34,77,1923
200,15,10,0.45,0.75,3,1957,44,70,1930
200,15,10,0.45,0.75,3,1957,44,74,1926
200,25,10,0.45,0.75,3,1960,41,74,1926
200,25,10,0.45,0.75,3,1958,43,71,1929
200,25,10,0.45,0.75,3,1964,37,71,1929
200,25,10,0.45,0.75,3,1962,39,66,1934
200,25,10,0.45,0.75,3,1955,46,66,1934
200,50,10,0.45,0.75,3,1953,48,70,1930
200,50,10,0.45,0.75,3,1968,33,74,1926
200,50,10,0.45,0.75,3,1960,41,74,1926
200,50,10,0.45,0.75,3,1958,43,74,1926
200,50,10,0.45,0.75,3,1957,44,67,1933
200,100,10,0.45,0.75,3,1964,37,76,1924
200,100,10,0.45,0.75,3,1967,34,74,1926
200,100,10,0.45,0.75,3,1966,35,68,1932
200,100,10,0.45,0.75,3,1963,38,74,1926
200,100,10,0.45,0.75,3,1958,43,70,1930
200,200,10,0.45,0.75,3,1963,38,76,1924
200,200,10,0.45,0.75,3,1959,42,75,1925
200,200,10,0.45,0.75,3,1959,42,80,1920
200,200,10,0.45,0.75,3,1964,37,78,1922
200,200,10,0.45,0.75,3,1963,38,75,1925
200,500,10,0.45,0.75,3,1958,43,80,1920
200,500,10,0.45,0.75,3,1963,38,74,1926
200,500,10,0.45,0.75,3,1961,40,78,1922
200,500,10,0.45,0.75,3,1964,37,73,1927
200,500,10,0.45,0.75,3,1959,42,73,1927
