number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,50,10,0.45,0.75,0,1957,44,67,1933
200,50,10,0.45,0.75,0,1960,41,68,1932
200,50,10,0.45,0.75,0,1958,43,67,1933
200,50,10,0.45,0.75,0,1956,45,72,1928
200,50,10,0.45,0.75,0,1962,39,70,1930
200,50,10,0.45,0.75,1,1962,39,85,1915
200,50,10,0.45,0.75,1,1957,44,74,1926
200,50,10,0.45,0.75,1,1960,41,83,1917
200,50,10,0.45,0.75,1,1954,47,84,1916
200,50,10,0.45,0.75,1,1952,49,88,1912
200,50,10,0.45,0.75,2,1956,45,94,1906
200,50,10,0.45,0.75,2,1960,41,94,1906
200,50,10,0.45,0.75,2,1949,52,84,1916
200,50,10,0.45,0.75,2,1951,50,96,1904
200,50,10,0.45,0.75,2,1957,44,88,1912
200,50,10,0.45,0.75,3,1955,46,74,1926
200,50,10,0.45,0.75,3,1968,33,75,1925
200,50,10,0.45,0.75,3,1956,45,73,1927
200,50,10,0.45,0.75,3,1959,42,74,1926
200,50,10,0.45,0.75,3,1959,42,72,1928
