number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
1,50,10,0.45,0.75,3,1926,75,131,1869
1,50,10,0.45,0.75,3,1848,153,106,1894
1,50,10,0.45,0.75,3,1806,195,141,1859
1,50,10,0.45,0.75,3,1883,118,165,1835
1,50,10,0.45,0.75,3,1949,52,114,1886
2,50,10,0.45,0.75,3,1844,157,79,1921
2,50,10,0.45,0.75,3,1875,126,80,1920
2,50,10,0.45,0.75,3,1875,126,224,1776
2,50,10,0.45,0.75,3,1925,76,85,1915
2,50,10,0.45,0.75,3,1889,112,179,1821
5,50,10,0.45,0.75,3,1916,85,63,1937
5,50,10,0.45,0.75,3,1931,70,77,1923
5,50,10,0.45,0.75,3,1935,66,65,1935
5,50,10,0.45,0.75,3,1946,55,72,1928
5,50,10,0.45,0.75,3,1956,45,68,1932
10,50,10,0.45,0.75,3,1935,66,69,1931
10,50,10,0.45,0.75,3,1923,78,67,1933
10,50,10,0.45,0.75,3,1930,71,70,1930
10,50,10,0.45,0.75,3,1956,45,88,1912
10,50,10,0.45,0.75,3,1939,62,70,1930
15,50,10,0.45,0.75,3,1945,56,68,1932
15,50,10,0.45,0.75,3,1942,59,64,1936
15,50,10,0.45,0.75,3,1947,54,70,1930
15,50,10,0.45,0.75,3,1943,58,67,1933
15,50,10,0.45,0.75,3,1935,66,62,1938
25,50,10,0.45,0.75,3,1944,57,68,1932
25,50,10,0.45,0.75,3,1965,36,78,1922
25,50,10,0.45,0.75,3,1957,44,69,1931
25,50,10,0.45,0.75,3,1950,51,71,1929
25,50,10,0.45,0.75,3,1938,63,69,1931
50,50,10,0.45,0.75,3,1964,37,75,1925
50,50,10,0.45,0.75,3,1960,41,69,1931
50,50,10,0.45,0.75,3,1969,32,76,1924
50,50,10,0.45,0.75,3,1954,47,72,1928
50,50,10,0.45,0.75,3,1950,51,75,1925
100,50,10,0.45,0.75,3,1952,49,62,1938
100,50,10,0.45,0.75,3,1949,52,73,1927
100,50,10,0.45,0.75,3,1968,33,75,1925
100,50,10,0.45,0.75,3,1950,51,70,1930
100,50,10,0.45,0.75,3,1959,42,73,1927
200,50,10,0.45,0.75,3,1968,33,77,1923
200,50,10,0.45,0.75,3,1960,41,71,1929
200,50,10,0.45,0.75,3,1964,37,78,1922
200,50,10,0.45,0.75,3,1957,44,75,1925
200,50,10,0.45,0.75,3,1959,42,64,1936
500,50,10,0.45,0.75,3,1965,36,77,1923
500,50,10,0.45,0.75,3,1969,32,72,1928
500,50,10,0.45,0.75,3,1963,38,75,1925
500,50,10,0.45,0.75,3,1963,38,73,1927
500,50,10,0.45,0.75,3,1964,37,74,1926
