number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
1,50,10,0.45,0.75,3,360,48,44,604
1,50,10,0.45,0.75,3,347,61,24,624
1,50,10,0.45,0.75,3,375,33,43,605
1,50,10,0.45,0.75,3,343,65,14,634
1,50,10,0.45,0.75,3,384,24,53,595
2,50,10,0.45,0.75,3,275,133,92,556
2,50,10,0.45,0.75,3,216,192,274,374
2,50,10,0.45,0.75,3,404,4,18,630
2,50,10,0.45,0.75,3,347,61,32,616
2,50,10,0.45,0.75,3,289,119,97,551
5,50,10,0.45,0.75,3,323,85,18,630
5,50,10,0.45,0.75,3,327,81,14,634
5,50,10,0.45,0.75,3,389,19,38,610
5,50,10,0.45,0.75,3,370,38,20,628
5,50,10,0.45,0.75,3,385,23,14,634
10,50,10,0.45,0.75,3,380,28,14,634
10,50,10,0.45,0.75,3,383,25,21,627
10,50,10,0.45,0.75,3,386,22,11,637
10,50,10,0.45,0.75,3,386,22,16,632
10,50,10,0.45,0.75,3,379,29,12,636
15,50,10,0.45,0.75,3,375,33,9,639
15,50,10,0.45,0.75,3,382,26,8,640
15,50,10,0.45,0.75,3,377,31,13,635
15,50,10,0.45,0.75,3,391,17,10,638
15,50,10,0.45,0.75,3,393,15,17,631
25,50,10,0.45,0.75,3,396,12,13,635
25,50,10,0.45,0.75,3,387,21,9,639
25,50,10,0.45,0.75,3,399,9,19,629
25,50,10,0.45,0.75,3,397,11,12,636
25,50,10,0.45,0.75,3,389,19,8,640
50,50,10,0.45,0.75,3,387,21,8,640
50,50,10,0.45,0.75,3,388,20,9,639
50,50,10,0.45,0.75,3,388,20,11,637
50,50,10,0.45,0.75,3,388,20,14,634
50,50,10,0.45,0.75,3,392,16,10,638
100,50,10,0.45,0.75,3,392,16,9,639
100,50,10,0.45,0.75,3,395,13,9,639
100,50,10,0.45,0.75,3,396,12,11,637
100,50,10,0.45,0.75,3,394,14,8,640
100,50,10,0.45,0.75,3,391,17,8,640
200,50,10,0.45,0.75,3,392,16,9,639
200,50,10,0.45,0.75,3,391,17,9,639
200,50,10,0.45,0.75,3,394,14,10,638
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,392,16,10,638
500,50,10,0.45,0.75,3,392,16,8,640
500,50,10,0.45,0.75,3,392,16,9,639
500,50,10,0.45,0.75,3,396,12,10,638
500,50,10,0.45,0.75,3,388,20,9,639
500,50,10,0.45,0.75,3,393,15,10,638
