number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,50,10,0.1,0.75,3,391,17,8,640
200,50,10,0.1,0.75,3,394,14,9,639
200,50,10,0.1,0.75,3,389,19,9,639
200,50,10,0.1,0.75,3,392,16,9,639
200,50,10,0.1,0.75,3,392,16,9,639
200,50,10,0.2,0.75,3,394,14,11,637
200,50,10,0.2,0.75,3,390,18,10,638
200,50,10,0.2,0.75,3,391,17,9,639
200,50,10,0.2,0.75,3,393,15,11,637
200,50,10,0.2,0.75,3,392,16,10,638
200,50,10,0.3,0.75,3,394,14,11,637
200,50,10,0.3,0.75,3,394,14,10,638
200,50,10,0.3,0.75,3,392,16,10,638
200,50,10,0.3,0.75,3,395,13,10,638
200,50,10,0.3,0.75,3,391,17,10,638
200,50,10,0.4,0.75,3,390,18,10,638
200,50,10,0.4,0.75,3,392,16,11,637
200,50,10,0.4,0.75,3,392,16,10,638
200,50,10,0.4,0.75,3,392,16,8,640
200,50,10,0.4,0.75,3,395,13,11,637
200,50,10,0.5,0.75,3,392,16,12,636
200,50,10,0.5,0.75,3,396,12,12,636
200,50,10,0.5,0.75,3,395,13,9,639
200,50,10,0.5,0.75,3,395,13,12,636
200,50,10,0.5,0.75,3,392,16,9,639
200,50,10,0.6,0.75,3,389,19,8,640
200,50,10,0.6,0.75,3,396,12,10,638
200,50,10,0.6,0.75,3,394,14,8,640
200,50,10,0.6,0.75,3,395,13,13,635
200,50,10,0.6,0.75,3,392,16,14,634
200,50,10,0.7,0.75,3,393,15,10,638
200,50,10,0.7,0.75,3,392,16,8,640
200,50,10,0.7,0.75,3,388,20,9,639
200,50,10,0.7,0.75,3,391,17,10,638
200,50,10,0.7,0.75,3,394,14,10,638
200,50,10,0.8,0.75,3,391,17,7,641
200,50,10,0.8,0.75,3,395,13,11,637
200,50,10,0.8,0.75,3,395,13,9,639
200,50,10,0.8,0.75,3,393,15,9,639
200,50,10,0.8,0.75,3,394,14,10,638
200,50,10,0.9,0.75,3,394,14,9,639
200,50,10,0.9,0.75,3,394,14,8,640
200,50,10,0.9,0.75,3,387,21,7,641
200,50,10,0.9,0.75,3,392,16,9,639
200,50,10,0.9,0.75,3,388,20,7,641
200,50,10,1.0,0.75,3,389,19,7,641
200,50,10,1.0,0.75,3,393,15,10,638
200,50,10,1.0,0.75,3,392,16,10,638
200,50,10,1.0,0.75,3,393,15,9,639
200,50,10,1.0,0.75,3,391,17,8,640
