number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,50,10,0.45,0.75,0,0,0,8,0,0,0,0,0,33,9,1,0,0,0,460,84,1,0,0,0,206,295,10,0,0,0,17,116,27,0,0,0,0,11,4,0
200,50,10,0.45,0.75,0,0,0,7,1,0,0,0,0,35,7,1,0,0,0,440,103,2,0,0,0,179,316,16,0,0,0,14,111,35,0,0,0,0,12,3,0
200,50,10,0.45,0.75,0,0,0,6,2,0,0,0,0,33,10,0,0,0,0,460,85,0,0,0,0,193,300,18,0,0,0,10,126,24,0,0,0,0,12,3,0
200,50,10,0.45,0.75,0,0,0,7,1,0,0,0,0,33,9,1,0,0,0,466,78,1,0,0,0,205,289,17,0,0,0,16,118,26,0,0,0,0,13,2,0
200,50,10,0.45,0.75,0,0,0,7,1,0,0,0,0,33,10,0,0,0,0,454,89,2,0,0,0,191,303,17,0,0,0,15,114,31,0,0,0,0,12,3,0
200,50,10,0.45,0.75,1,0,0,7,1,0,0,0,0,29,13,1,0,0,0,438,106,1,0,0,0,185,304,22,0,0,0,11,116,33,0,0,0,0,12,3,0
200,50,10,0.45,0.75,1,0,0,6,2,0,0,0,0,28,14,1,0,0,0,447,96,2,0,0,0,199,293,19,0,0,0,13,117,30,0,0,0,0,11,4,0
200,50,10,0.45,0.75,1,0,0,7,1,0,0,0,0,33,9,1,0,0,0,451,92,2,0,0,0,187,307,17,0,0,0,14,117,29,0,0,0,0,11,4,0
200,50,10,0.45,0.75,1,0,0,7,1,0,0,0,0,30,13,0,0,0,0,445,99,1,0,0,0,188,304,19,0,0,0,14,120,26,0,0,0,0,12,3,0
200,50,10,0.45,0.75,1,0,0,7,1,0,0,0,0,30,12,1,0,0,0,449,95,1,0,0,0,187,309,15,0,0,0,12,121,27,0,0,0,0,11,4,0
200,50,10,0.45,0.75,2,0,0,8,0,0,0,0,0,32,11,0,0,0,0,438,107,0,0,0,0,186,311,14,0,0,0,12,123,25,0,0,0,0,12,3,0
200,50,10,0.45,0.75,2,0,0,7,1,0,0,0,0,30,13,0,0,0,0,422,122,1,0,0,0,187,313,11,0,0,0,15,124,21,0,0,0,0,12,3,0
200,50,10,0.45,0.75,2,0,0,7,1,0,0,0,0,29,14,0,0,0,0,424,121,0,0,0,0,170,329,12,0,0,0,14,128,18,0,0,0,0,12,3,0
200,50,10,0.45,0.75,2,0,0,7,1,0,0,0,0,31,12,0,0,0,0,426,119,0,0,0,0,172,327,12,0,0,0,13,127,20,0,0,0,0,12,3,0
200,50,10,0.45,0.75,2,0,0,7,1,0,0,0,0,31,12,0,0,0,0,432,113,0,0,0,0,177,323,11,0,0,0,13,126,21,0,0,0,0,12,3,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,452,91,2,0,0,0,196,296,19,0,0,0,13,117,30,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,458,84,3,0,0,0,199,295,17,0,0,0,21,110,29,0,0,0,0,12,3,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,460,84,1,0,0,0,197,299,15,0,0,0,15,118,27,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,440,105,0,0,0,0,180,310,21,0,0,0,12,118,30,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,443,101,1,0,0,0,191,307,13,0,0,0,15,121,24,0,0,0,0,11,4,0
