number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,50,10,0.1,0.75,3,0,0,8,0,0,0,0,0,31,12,0,0,0,0,455,89,1,0,0,0,186,311,14,0,0,0,14,121,25,0,0,0,0,11,4,0
200,50,10,0.1,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,458,87,0,0,0,0,198,301,12,0,0,0,16,118,26,0,0,0,0,12,3,0
200,50,10,0.1,0.75,3,0,0,7,1,0,0,0,0,36,7,0,0,0,0,459,85,1,0,0,0,198,300,13,0,0,0,14,121,25,0,0,0,0,12,3,0
200,50,10,0.1,0.75,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,456,89,0,0,0,0,191,311,9,0,0,0,15,118,27,0,0,0,0,11,4,0
200,50,10,0.1,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,449,95,1,0,0,0,188,315,8,0,0,0,12,127,21,0,0,0,0,12,3,0
200,50,10,0.2,0.75,3,0,0,8,0,0,0,0,0,32,11,0,0,0,0,460,85,0,0,0,0,193,309,9,0,0,0,13,123,24,0,0,0,0,11,4,0
200,50,10,0.2,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,458,86,1,0,0,0,193,309,9,0,0,0,16,120,24,0,0,0,0,12,3,0
200,50,10,0.2,0.75,3,0,0,8,0,0,0,0,0,35,8,0,0,0,0,457,87,1,0,0,0,197,301,13,0,0,0,16,118,26,0,0,0,0,11,4,0
200,50,10,0.2,0.75,3,0,0,8,0,0,0,0,0,34,8,1,0,0,0,454,90,1,0,0,0,199,304,8,0,0,0,14,119,27,0,0,0,0,12,3,0
200,50,10,0.2,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,461,83,1,0,0,0,214,281,16,0,0,0,23,109,28,0,0,0,0,11,4,0
200,50,10,0.3,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,462,81,2,0,0,0,181,311,19,0,0,0,15,118,27,0,0,0,0,12,3,0
