number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,10,10,0.5,0.1,3,489,11,18,482
50,10,10,0.5,0.1,3,488,12,19,481
50,10,10,0.5,0.1,3,492,8,15,485
50,10,10,0.5,0.1,3,483,17,11,489
50,10,10,0.5,0.1,3,492,9,20,480
50,10,10,0.5,0.1,3,485,15,17,483
50,10,10,0.5,0.1,3,489,11,16,484
50,10,10,0.5,0.1,3,492,8,15,485
50,10,10,0.5,0.1,3,482,18,13,487
50,10,10,0.5,0.1,3,491,10,21,479
50,10,10,0.5,0.1,3,487,13,16,484
50,10,10,0.5,0.1,3,488,12,18,482
50,10,10,0.5,0.1,3,490,10,15,485
50,10,10,0.5,0.1,3,482,18,12,488
50,10,10,0.5,0.1,3,490,11,19,481
50,10,10,0.5,0.2,3,492,8,16,484
50,10,10,0.5,0.2,3,491,9,18,482
50,10,10,0.5,0.2,3,492,8,15,485
50,10,10,0.5,0.2,3,485,15,11,489
50,10,10,0.5,0.2,3,494,7,20,480
50,10,10,0.5,0.2,3,486,14,17,483
50,10,10,0.5,0.2,3,488,12,18,482
50,10,10,0.5,0.2,3,493,7,15,485
50,10,10,0.5,0.2,3,484,16,12,488
50,10,10,0.5,0.2,3,489,12,20,480
50,10,10,0.5,0.2,3,487,13,16,484
50,10,10,0.5,0.2,3,489,11,18,482
50,10,10,0.5,0.2,3,490,10,14,486
50,10,10,0.5,0.2,3,485,15,11,489
50,10,10,0.5,0.2,3,491,10,20,480
50,10,10,0.5,0.3,3,487,13,17,483
50,10,10,0.5,0.3,3,486,14,18,482
50,10,10,0.5,0.3,3,490,10,14,486
50,10,10,0.5,0.3,3,485,15,11,489
50,10,10,0.5,0.3,3,489,12,21,479
50,10,10,0.5,0.3,3,485,15,14,486
50,10,10,0.5,0.3,3,488,12,18,482
50,10,10,0.5,0.3,3,490,10,15,485
50,10,10,0.5,0.3,3,480,20,8,492
50,10,10,0.5,0.3,3,490,11,21,479
50,10,10,0.5,0.3,3,488,12,17,483
50,10,10,0.5,0.3,3,489,11,16,484
50,10,10,0.5,0.3,3,488,12,14,486
50,10,10,0.5,0.3,3,483,17,10,490
50,10,10,0.5,0.3,3,488,13,18,482
50,10,10,0.5,0.4,3,487,13,15,485
50,10,10,0.5,0.4,3,488,12,17,483
50,10,10,0.5,0.4,3,490,10,14,486
50,10,10,0.5,0.4,3,481,19,11,489
50,10,10,0.5,0.4,3,490,11,21,479
50,10,10,0.5,0.4,3,487,13,15,485
50,10,10,0.5,0.4,3,487,13,17,483
50,10,10,0.5,0.4,3,489,11,14,486
50,10,10,0.5,0.4,3,483,17,10,490
50,10,10,0.5,0.4,3,490,11,20,480
50,10,10,0.5,0.4,3,487,13,15,485
50,10,10,0.5,0.4,3,489,11,17,483
50,10,10,0.5,0.4,3,489,11,14,486
50,10,10,0.5,0.4,3,481,19,11,489
50,10,10,0.5,0.4,3,488,13,21,479
50,10,10,0.5,0.5,3,487,13,16,484
50,10,10,0.5,0.5,3,487,13,17,483
50,10,10,0.5,0.5,3,489,11,14,486
50,10,10,0.5,0.5,3,481,19,9,491
50,10,10,0.5,0.5,3,490,11,21,479
50,10,10,0.5,0.5,3,488,12,15,485
50,10,10,0.5,0.5,3,488,12,18,482
50,10,10,0.5,0.5,3,489,11,14,486
50,10,10,0.5,0.5,3,484,16,9,491
