number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,1,10,0.5,0.5,3,483,17,23,477
50,1,10,0.5,0.5,3,483,17,22,478
50,1,10,0.5,0.5,3,485,15,27,473
50,1,10,0.5,0.5,3,476,24,14,486
50,1,10,0.5,0.5,3,479,22,23,477
50,1,10,0.5,0.5,3,480,20,26,474
50,1,10,0.5,0.5,3,483,17,22,478
50,1,10,0.5,0.5,3,431,69,72,428
50,1,10,0.5,0.5,3,476,24,13,487
50,1,10,0.5,0.5,3,473,28,27,473
50,1,10,0.5,0.5,3,432,68,65,435
50,1,10,0.5,0.5,3,483,17,24,476
50,1,10,0.5,0.5,3,485,15,27,473
50,1,10,0.5,0.5,3,475,25,21,479
50,1,10,0.5,0.5,3,473,28,27,473
50,2,10,0.5,0.5,3,485,15,19,481
50,2,10,0.5,0.5,3,485,15,25,475
50,2,10,0.5,0.5,3,487,13,17,483
50,2,10,0.5,0.5,3,471,29,10,490
50,2,10,0.5,0.5,3,481,20,25,475
50,2,10,0.5,0.5,3,483,17,17,483
50,2,10,0.5,0.5,3,479,21,17,483
50,2,10,0.5,0.5,3,485,15,20,480
50,2,10,0.5,0.5,3,479,21,10,490
50,2,10,0.5,0.5,3,473,28,24,476
50,2,10,0.5,0.5,3,488,12,19,481
50,2,10,0.5,0.5,3,485,15,22,478
50,2,10,0.5,0.5,3,485,15,19,481
50,2,10,0.5,0.5,3,490,10,24,476
50,2,10,0.5,0.5,3,473,28,25,475
50,5,10,0.5,0.5,3,488,12,16,484
50,5,10,0.5,0.5,3,488,12,17,483
50,5,10,0.5,0.5,3,491,9,14,486
50,5,10,0.5,0.5,3,489,11,13,487
50,5,10,0.5,0.5,3,498,3,24,476
50,5,10,0.5,0.5,3,490,10,18,482
50,5,10,0.5,0.5,3,489,11,15,485
50,5,10,0.5,0.5,3,492,8,13,487
50,5,10,0.5,0.5,3,492,8,11,489
50,5,10,0.5,0.5,3,494,7,21,479
50,5,10,0.5,0.5,3,490,10,18,482
50,5,10,0.5,0.5,3,491,9,19,481
50,5,10,0.5,0.5,3,490,10,13,487
50,5,10,0.5,0.5,3,489,11,13,487
50,5,10,0.5,0.5,3,496,5,23,477
50,10,10,0.5,0.5,3,489,11,18,482
50,10,10,0.5,0.5,3,488,12,18,482
50,10,10,0.5,0.5,3,487,13,14,486
50,10,10,0.5,0.5,3,484,16,8,492
50,10,10,0.5,0.5,3,490,11,21,479
50,10,10,0.5,0.5,3,488,12,15,485
50,10,10,0.5,0.5,3,487,13,17,483
50,10,10,0.5,0.5,3,490,10,14,486
50,10,10,0.5,0.5,3,482,18,9,491
50,10,10,0.5,0.5,3,489,12,20,480
50,10,10,0.5,0.5,3,487,13,16,484
50,10,10,0.5,0.5,3,487,13,18,482
50,10,10,0.5,0.5,3,490,10,14,486
50,10,10,0.5,0.5,3,481,19,10,490
50,10,10,0.5,0.5,3,489,12,22,478
50,15,10,0.5,0.5,3,486,14,15,485
50,15,10,0.5,0.5,3,489,11,17,483
50,15,10,0.5,0.5,3,489,11,13,487
50,15,10,0.5,0.5,3,482,18,10,490
50,15,10,0.5,0.5,3,489,12,21,479
50,15,10,0.5,0.5,3,489,11,15,485
50,15,10,0.5,0.5,3,486,14,18,482
50,15,10,0.5,0.5,3,489,11,13,487
50,15,10,0.5,0.5,3,481,19,9,491
50,15,10,0.5,0.5,3,488,13,19,481
50,15,10,0.5,0.5,3,488,12,15,485
50,15,10,0.5,0.5,3,489,11,18,482
50,15,10,0.5,0.5,3,488,12,14,486
50,15,10,0.5,0.5,3,482,18,9,491
50,15,10,0.5,0.5,3,488,13,21,479
50,25,10,0.5,0.5,3,486,14,17,483
50,25,10,0.5,0.5,3,487,13,17,483
50,25,10,0.5,0.5,3,489,11,15,485
50,25,10,0.5,0.5,3,481,19,10,490
50,25,10,0.5,0.5,3,487,14,21,479
50,25,10,0.5,0.5,3,487,13,15,485
50,25,10,0.5,0.5,3,489,11,17,483
50,25,10,0.5,0.5,3,486,14,13,487
50,25,10,0.5,0.5,3,482,18,10,490
50,25,10,0.5,0.5,3,487,14,21,479
50,25,10,0.5,0.5,3,487,13,17,483
50,25,10,0.5,0.5,3,487,13,18,482
50,25,10,0.5,0.5,3,488,12,12,488
50,25,10,0.5,0.5,3,480,20,10,490
50,25,10,0.5,0.5,3,490,11,21,479
50,50,10,0.5,0.5,3,486,14,16,484
50,50,10,0.5,0.5,3,488,12,18,482
50,50,10,0.5,0.5,3,486,14,12,488
50,50,10,0.5,0.5,3,482,18,10,490
50,50,10,0.5,0.5,3,489,12,21,479
50,50,10,0.5,0.5,3,489,11,18,482
50,50,10,0.5,0.5,3,487,13,19,481
50,50,10,0.5,0.5,3,489,11,13,487
50,50,10,0.5,0.5,3,483,17,8,492
50,50,10,0.5,0.5,3,487,14,21,479
50,50,10,0.5,0.5,3,489,11,16,484
50,50,10,0.5,0.5,3,488,12,18,482
50,50,10,0.5,0.5,3,488,12,14,486
50,50,10,0.5,0.5,3,482,18,9,491
50,50,10,0.5,0.5,3,492,9,22,478
50,100,10,0.5,0.5,3,492,8,19,481
50,100,10,0.5,0.5,3,487,13,18,482
50,100,10,0.5,0.5,3,487,13,12,488
50,100,10,0.5,0.5,3,483,17,8,492
50,100,10,0.5,0.5,3,490,11,21,479
50,100,10,0.5,0.5,3,487,13,16,484
50,100,10,0.5,0.5,3,488,12,17,483
50,100,10,0.5,0.5,3,487,13,12,488
50,100,10,0.5,0.5,3,482,18,10,490
50,100,10,0.5,0.5,3,490,11,21,479
50,100,10,0.5,0.5,3,487,13,16,484
50,100,10,0.5,0.5,3,488,12,17,483
50,100,10,0.5,0.5,3,488,12,13,487
50,100,10,0.5,0.5,3,480,20,9,491
50,100,10,0.5,0.5,3,488,13,21,479
