number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,10,5,0.5,0.5,3,488,12,16,484
50,10,5,0.5,0.5,3,488,12,17,483
50,10,5,0.5,0.5,3,488,12,15,485
50,10,5,0.5,0.5,3,480,20,8,492
50,10,5,0.5,0.5,3,487,14,19,481
50,10,5,0.5,0.5,3,485,15,16,484
50,10,5,0.5,0.5,3,486,14,20,480
50,10,5,0.5,0.5,3,490,10,15,485
50,10,5,0.5,0.5,3,483,17,9,491
50,10,5,0.5,0.5,3,489,12,19,481
50,10,5,0.5,0.5,3,486,14,16,484
50,10,5,0.5,0.5,3,488,12,18,482
50,10,5,0.5,0.5,3,487,13,14,486
50,10,5,0.5,0.5,3,480,20,9,491
50,10,5,0.5,0.5,3,488,13,20,480
50,10,10,0.5,0.5,3,487,13,14,486
50,10,10,0.5,0.5,3,488,12,17,483
50,10,10,0.5,0.5,3,490,10,13,487
50,10,10,0.5,0.5,3,479,21,10,490
50,10,10,0.5,0.5,3,492,9,21,479
50,10,10,0.5,0.5,3,491,9,18,482
50,10,10,0.5,0.5,3,488,12,17,483
50,10,10,0.5,0.5,3,488,12,13,487
50,10,10,0.5,0.5,3,481,19,8,492
50,10,10,0.5,0.5,3,489,12,20,480
50,10,10,0.5,0.5,3,489,11,16,484
50,10,10,0.5,0.5,3,488,12,18,482
50,10,10,0.5,0.5,3,490,10,14,486
50,10,10,0.5,0.5,3,480,20,9,491
50,10,10,0.5,0.5,3,489,12,21,479
50,10,15,0.5,0.5,3,491,9,15,485
50,10,15,0.5,0.5,3,488,12,17,483
50,10,15,0.5,0.5,3,490,10,11,489
50,10,15,0.5,0.5,3,484,16,10,490
50,10,15,0.5,0.5,3,488,13,22,478
50,10,15,0.5,0.5,3,487,13,16,484
50,10,15,0.5,0.5,3,488,12,18,482
50,10,15,0.5,0.5,3,489,11,13,487
50,10,15,0.5,0.5,3,485,15,12,488
50,10,15,0.5,0.5,3,491,10,21,479
50,10,15,0.5,0.5,3,488,12,16,484
50,10,15,0.5,0.5,3,486,14,17,483
50,10,15,0.5,0.5,3,489,11,12,488
50,10,15,0.5,0.5,3,485,15,11,489
50,10,15,0.5,0.5,3,489,12,21,479
50,10,25,0.5,0.5,3,487,13,15,485
50,10,25,0.5,0.5,3,488,12,16,484
50,10,25,0.5,0.5,3,489,11,12,488
50,10,25,0.5,0.5,3,485,15,11,489
50,10,25,0.5,0.5,3,495,6,22,478
50,10,25,0.5,0.5,3,491,9,17,483
50,10,25,0.5,0.5,3,488,12,16,484
50,10,25,0.5,0.5,3,490,10,14,486
50,10,25,0.5,0.5,3,488,12,13,487
50,10,25,0.5,0.5,3,494,7,21,479
50,10,25,0.5,0.5,3,488,12,15,485
50,10,25,0.5,0.5,3,489,11,17,483
50,10,25,0.5,0.5,3,489,11,13,487
50,10,25,0.5,0.5,3,486,14,12,488
50,10,25,0.5,0.5,3,496,5,22,478
50,10,50,0.5,0.5,3,490,10,18,482
50,10,50,0.5,0.5,3,486,14,15,485
50,10,50,0.5,0.5,3,488,12,12,488
50,10,50,0.5,0.5,3,483,17,12,488
50,10,50,0.5,0.5,3,490,11,20,480
50,10,50,0.5,0.5,3,489,11,18,482
50,10,50,0.5,0.5,3,485,15,14,486
50,10,50,0.5,0.5,3,488,12,12,488
50,10,50,0.5,0.5,3,484,16,11,489
50,10,50,0.5,0.5,3,494,7,22,478
