number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,10,10,0.5,0.5,0,487,13,17,483
50,10,10,0.5,0.5,0,487,13,17,483
50,10,10,0.5,0.5,0,490,10,14,486
50,10,10,0.5,0.5,0,481,19,9,491
50,10,10,0.5,0.5,0,488,13,19,481
50,10,10,0.5,0.5,0,488,12,17,483
50,10,10,0.5,0.5,0,488,12,19,481
50,10,10,0.5,0.5,0,489,11,14,486
50,10,10,0.5,0.5,0,480,20,9,491
50,10,10,0.5,0.5,0,489,12,21,479
50,10,10,0.5,0.5,0,488,12,17,483
50,10,10,0.5,0.5,0,487,13,17,483
50,10,10,0.5,0.5,0,489,11,15,485
50,10,10,0.5,0.5,0,480,20,11,489
50,10,10,0.5,0.5,0,489,12,19,481
50,10,10,0.5,0.5,1,488,12,16,484
50,10,10,0.5,0.5,1,487,13,17,483
50,10,10,0.5,0.5,1,490,10,13,487
50,10,10,0.5,0.5,1,481,19,11,489
50,10,10,0.5,0.5,1,490,11,20,480
50,10,10,0.5,0.5,1,491,9,18,482
50,10,10,0.5,0.5,1,487,13,18,482
50,10,10,0.5,0.5,1,489,11,14,486
50,10,10,0.5,0.5,1,484,16,9,491
50,10,10,0.5,0.5,1,490,11,21,479
50,10,10,0.5,0.5,1,488,12,15,485
50,10,10,0.5,0.5,1,488,12,17,483
50,10,10,0.5,0.5,1,490,10,13,487
50,10,10,0.5,0.5,1,484,16,11,489
50,10,10,0.5,0.5,1,489,12,20,480
50,10,10,0.5,0.5,2,487,13,16,484
50,10,10,0.5,0.5,2,487,13,18,482
50,10,10,0.5,0.5,2,489,11,12,488
50,10,10,0.5,0.5,2,482,18,10,490
50,10,10,0.5,0.5,2,490,11,21,479
50,10,10,0.5,0.5,2,488,12,17,483
50,10,10,0.5,0.5,2,487,13,18,482
50,10,10,0.5,0.5,2,490,10,13,487
50,10,10,0.5,0.5,2,482,18,11,489
50,10,10,0.5,0.5,2,490,11,21,479
50,10,10,0.5,0.5,2,486,14,17,483
50,10,10,0.5,0.5,2,487,13,17,483
50,10,10,0.5,0.5,2,490,10,14,486
50,10,10,0.5,0.5,2,481,19,9,491
50,10,10,0.5,0.5,2,489,12,20,480
50,10,10,0.5,0.5,3,488,12,16,484
50,10,10,0.5,0.5,3,488,12,17,483
50,10,10,0.5,0.5,3,489,11,13,487
50,10,10,0.5,0.5,3,480,20,9,491
50,10,10,0.5,0.5,3,490,11,21,479
50,10,10,0.5,0.5,3,491,9,17,483
50,10,10,0.5,0.5,3,487,13,18,482
50,10,10,0.5,0.5,3,489,11,13,487
50,10,10,0.5,0.5,3,481,19,10,490
50,10,10,0.5,0.5,3,488,13,21,479
50,10,10,0.5,0.5,3,487,13,17,483
50,10,10,0.5,0.5,3,487,13,18,482
50,10,10,0.5,0.5,3,491,9,12,488
50,10,10,0.5,0.5,3,483,17,10,490
50,10,10,0.5,0.5,3,489,12,20,480
