number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
1,10,10,0.5,0.5,3,487,13,23,477
1,10,10,0.5,0.5,3,484,16,21,479
1,10,10,0.5,0.5,3,487,13,16,484
1,10,10,0.5,0.5,3,482,18,15,485
1,10,10,0.5,0.5,3,481,20,18,482
1,10,10,0.5,0.5,3,487,13,22,478
1,10,10,0.5,0.5,3,483,17,19,481
1,10,10,0.5,0.5,3,481,19,20,480
1,10,10,0.5,0.5,3,483,17,15,485
1,10,10,0.5,0.5,3,480,21,22,478
1,10,10,0.5,0.5,3,484,16,17,483
1,10,10,0.5,0.5,3,482,18,22,478
1,10,10,0.5,0.5,3,489,11,13,487
1,10,10,0.5,0.5,3,483,17,11,489
1,10,10,0.5,0.5,3,483,18,27,473
3,10,10,0.5,0.5,3,481,19,10,490
3,10,10,0.5,0.5,3,490,10,15,485
3,10,10,0.5,0.5,3,488,12,16,484
3,10,10,0.5,0.5,3,480,20,12,488
3,10,10,0.5,0.5,3,481,20,23,477
3,10,10,0.5,0.5,3,483,17,14,486
3,10,10,0.5,0.5,3,483,17,21,479
3,10,10,0.5,0.5,3,487,13,13,487
3,10,10,0.5,0.5,3,483,17,9,491
3,10,10,0.5,0.5,3,487,14,22,478
3,10,10,0.5,0.5,3,490,10,15,485
3,10,10,0.5,0.5,3,485,15,19,481
3,10,10,0.5,0.5,3,486,14,12,488
3,10,10,0.5,0.5,3,485,15,10,490
3,10,10,0.5,0.5,3,482,19,21,479
5,10,10,0.5,0.5,3,487,13,17,483
5,10,10,0.5,0.5,3,488,12,15,485
5,10,10,0.5,0.5,3,490,10,14,486
5,10,10,0.5,0.5,3,482,18,11,489
5,10,10,0.5,0.5,3,488,13,19,481
5,10,10,0.5,0.5,3,486,14,17,483
5,10,10,0.5,0.5,3,484,16,18,482
5,10,10,0.5,0.5,3,488,12,16,484
5,10,10,0.5,0.5,3,481,19,8,492
5,10,10,0.5,0.5,3,485,16,20,480
5,10,10,0.5,0.5,3,484,16,14,486
5,10,10,0.5,0.5,3,486,14,20,480
5,10,10,0.5,0.5,3,489,11,14,486
5,10,10,0.5,0.5,3,485,15,10,490
5,10,10,0.5,0.5,3,484,17,21,479
10,10,10,0.5,0.5,3,488,12,14,486
