number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,10,10,0.0,0.5,3,486,14,16,484
50,10,10,0.0,0.5,3,487,13,18,482
50,10,10,0.0,0.5,3,490,10,15,485
50,10,10,0.0,0.5,3,481,19,9,491
50,10,10,0.0,0.5,3,489,12,22,478
50,10,10,0.0,0.5,3,489,11,15,485
50,10,10,0.0,0.5,3,488,12,18,482
50,10,10,0.0,0.5,3,489,11,13,487
50,10,10,0.0,0.5,3,481,19,9,491
50,10,10,0.0,0.5,3,489,12,22,478
50,10,10,0.0,0.5,3,491,9,18,482
50,10,10,0.0,0.5,3,487,13,18,482
50,10,10,0.0,0.5,3,488,12,14,486
50,10,10,0.0,0.5,3,484,16,10,490
50,10,10,0.0,0.5,3,490,11,20,480
50,10,10,0.25,0.5,3,488,12,15,485
50,10,10,0.25,0.5,3,488,12,17,483
50,10,10,0.25,0.5,3,489,11,13,487
50,10,10,0.25,0.5,3,483,17,9,491
50,10,10,0.25,0.5,3,489,12,20,480
50,10,10,0.25,0.5,3,487,13,16,484
50,10,10,0.25,0.5,3,488,12,18,482
50,10,10,0.25,0.5,3,491,9,12,488
50,10,10,0.25,0.5,3,481,19,11,489
50,10,10,0.25,0.5,3,489,12,20,480
50,10,10,0.25,0.5,3,487,13,16,484
50,10,10,0.25,0.5,3,488,12,17,483
50,10,10,0.25,0.5,3,489,11,14,486
50,10,10,0.25,0.5,3,482,18,9,491
50,10,10,0.25,0.5,3,488,13,21,479
50,10,10,0.5,0.5,3,488,12,16,484
50,10,10,0.5,0.5,3,488,12,18,482
50,10,10,0.5,0.5,3,490,10,13,487
50,10,10,0.5,0.5,3,479,21,9,491
50,10,10,0.5,0.5,3,490,11,21,479
50,10,10,0.5,0.5,3,488,12,17,483
50,10,10,0.5,0.5,3,487,13,17,483
50,10,10,0.5,0.5,3,486,14,13,487
50,10,10,0.5,0.5,3,480,20,9,491
50,10,10,0.5,0.5,3,489,12,20,480
50,10,10,0.5,0.5,3,488,12,16,484
50,10,10,0.5,0.5,3,487,13,17,483
50,10,10,0.5,0.5,3,490,10,14,486
50,10,10,0.5,0.5,3,483,17,10,490
50,10,10,0.5,0.5,3,488,13,20,480
50,10,10,0.75,0.5,3,489,11,17,483
50,10,10,0.75,0.5,3,488,12,17,483
50,10,10,0.75,0.5,3,489,11,14,486
50,10,10,0.75,0.5,3,481,19,10,490
50,10,10,0.75,0.5,3,488,13,20,480
50,10,10,0.75,0.5,3,486,14,16,484
50,10,10,0.75,0.5,3,488,12,18,482
50,10,10,0.75,0.5,3,489,11,13,487
50,10,10,0.75,0.5,3,480,20,9,491
50,10,10,0.75,0.5,3,490,11,20,480
50,10,10,0.75,0.5,3,488,12,16,484
50,10,10,0.75,0.5,3,487,13,17,483
50,10,10,0.75,0.5,3,492,8,13,487
50,10,10,0.75,0.5,3,481,19,10,490
50,10,10,0.75,0.5,3,489,12,20,480
50,10,10,1.0,0.5,3,489,11,17,483
50,10,10,1.0,0.5,3,489,11,17,483
50,10,10,1.0,0.5,3,489,11,14,486
50,10,10,1.0,0.5,3,481,19,9,491
50,10,10,1.0,0.5,3,487,14,20,480
50,10,10,1.0,0.5,3,487,13,17,483
50,10,10,1.0,0.5,3,487,13,17,483
50,10,10,1.0,0.5,3,491,9,12,488
50,10,10,1.0,0.5,3,479,21,7,493
50,10,10,1.0,0.5,3,489,12,21,479
50,10,10,1.0,0.5,3,488,12,15,485
50,10,10,1.0,0.5,3,488,12,18,482
50,10,10,1.0,0.5,3,488,12,13,487
50,10,10,1.0,0.5,3,482,18,8,492
50,10,10,1.0,0.5,3,487,14,21,479
