number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50,10,5,0.5,0.5,3,100,1,4,158
50,10,5,0.5,0.5,3,100,1,1,161
50,10,5,0.5,0.5,3,100,1,3,159
50,10,5,0.5,0.5,3,100,1,2,160
50,10,5,0.5,0.5,3,103,2,3,159
50,10,5,0.5,0.5,3,100,1,3,159
50,10,5,0.5,0.5,3,100,1,1,161
50,10,5,0.5,0.5,3,100,1,3,159
50,10,5,0.5,0.5,3,100,1,2,160
50,10,5,0.5,0.5,3,103,2,3,159
50,10,5,0.5,0.5,3,99,2,3,159
50,10,5,0.5,0.5,3,100,1,1,161
50,10,5,0.5,0.5,3,100,1,3,159
50,10,5,0.5,0.5,3,100,1,2,160
50,10,5,0.5,0.5,3,103,2,3,159
50,10,10,0.5,0.5,3,99,2,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,103,2,3,159
50,10,10,0.5,0.5,3,100,1,4,158
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,103,2,3,159
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,103,2,3,159
50,10,15,0.5,0.5,3,100,1,4,158
50,10,15,0.5,0.5,3,100,1,2,160
50,10,15,0.5,0.5,3,100,1,3,159
50,10,15,0.5,0.5,3,100,1,2,160
50,10,15,0.5,0.5,3,103,2,3,159
50,10,15,0.5,0.5,3,100,1,4,158
50,10,15,0.5,0.5,3,100,1,2,160
50,10,15,0.5,0.5,3,100,1,3,159
50,10,15,0.5,0.5,3,101,0,2,160
50,10,15,0.5,0.5,3,104,1,3,159
50,10,15,0.5,0.5,3,100,1,4,158
50,10,15,0.5,0.5,3,100,1,1,161
50,10,15,0.5,0.5,3,100,1,3,159
50,10,15,0.5,0.5,3,100,1,2,160
50,10,15,0.5,0.5,3,103,2,3,159
50,10,25,0.5,0.5,3,100,1,4,158
50,10,25,0.5,0.5,3,100,1,2,160
50,10,25,0.5,0.5,3,100,1,3,159
50,10,25,0.5,0.5,3,101,0,2,160
50,10,25,0.5,0.5,3,104,1,3,159
50,10,25,0.5,0.5,3,100,1,4,158
50,10,25,0.5,0.5,3,100,1,2,160
50,10,25,0.5,0.5,3,100,1,3,159
50,10,25,0.5,0.5,3,101,0,2,160
50,10,25,0.5,0.5,3,104,1,3,159
50,10,25,0.5,0.5,3,100,1,4,158
50,10,25,0.5,0.5,3,100,1,2,160
50,10,25,0.5,0.5,3,100,1,3,159
50,10,25,0.5,0.5,3,101,0,2,160
50,10,25,0.5,0.5,3,104,1,3,159
50,10,50,0.5,0.5,3,98,3,4,158
50,10,50,0.5,0.5,3,100,1,2,160
50,10,50,0.5,0.5,3,100,1,3,159
50,10,50,0.5,0.5,3,101,0,2,160
