number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
1,10,10,0.5,0.5,3,91,10,3,159
1,10,10,0.5,0.5,3,98,3,0,162
1,10,10,0.5,0.5,3,96,5,5,157
1,10,10,0.5,0.5,3,95,6,2,160
1,10,10,0.5,0.5,3,101,4,4,158
1,10,10,0.5,0.5,3,99,2,3,159
1,10,10,0.5,0.5,3,100,1,5,157
1,10,10,0.5,0.5,3,100,1,3,159
1,10,10,0.5,0.5,3,100,1,2,160
1,10,10,0.5,0.5,3,103,2,2,160
1,10,10,0.5,0.5,3,94,7,6,156
1,10,10,0.5,0.5,3,96,5,3,159
1,10,10,0.5,0.5,3,99,2,2,160
1,10,10,0.5,0.5,3,97,4,4,158
1,10,10,0.5,0.5,3,102,3,3,159
3,10,10,0.5,0.5,3,97,4,3,159
3,10,10,0.5,0.5,3,100,1,2,160
3,10,10,0.5,0.5,3,101,0,3,159
3,10,10,0.5,0.5,3,100,1,2,160
3,10,10,0.5,0.5,3,103,2,2,160
3,10,10,0.5,0.5,3,97,4,3,159
3,10,10,0.5,0.5,3,100,1,1,161
3,10,10,0.5,0.5,3,100,1,2,160
3,10,10,0.5,0.5,3,101,0,1,161
3,10,10,0.5,0.5,3,103,2,3,159
3,10,10,0.5,0.5,3,99,2,2,160
3,10,10,0.5,0.5,3,99,2,1,161
3,10,10,0.5,0.5,3,100,1,3,159
3,10,10,0.5,0.5,3,100,1,2,160
3,10,10,0.5,0.5,3,104,1,3,159
5,10,10,0.5,0.5,3,100,1,4,158
5,10,10,0.5,0.5,3,100,1,2,160
5,10,10,0.5,0.5,3,99,2,3,159
5,10,10,0.5,0.5,3,100,1,2,160
5,10,10,0.5,0.5,3,102,3,2,160
5,10,10,0.5,0.5,3,98,3,3,159
5,10,10,0.5,0.5,3,100,1,1,161
5,10,10,0.5,0.5,3,100,1,3,159
5,10,10,0.5,0.5,3,100,1,1,161
5,10,10,0.5,0.5,3,103,2,2,160
5,10,10,0.5,0.5,3,100,1,5,157
5,10,10,0.5,0.5,3,100,1,1,161
5,10,10,0.5,0.5,3,100,1,3,159
5,10,10,0.5,0.5,3,100,1,1,161
5,10,10,0.5,0.5,3,103,2,2,160
10,10,10,0.5,0.5,3,98,3,4,158
10,10,10,0.5,0.5,3,100,1,2,160
10,10,10,0.5,0.5,3,100,1,2,160
10,10,10,0.5,0.5,3,99,2,2,160
10,10,10,0.5,0.5,3,103,2,2,160
10,10,10,0.5,0.5,3,99,2,3,159
10,10,10,0.5,0.5,3,100,1,2,160
10,10,10,0.5,0.5,3,100,1,2,160
10,10,10,0.5,0.5,3,100,1,1,161
10,10,10,0.5,0.5,3,103,2,3,159
10,10,10,0.5,0.5,3,99,2,4,158
10,10,10,0.5,0.5,3,100,1,1,161
10,10,10,0.5,0.5,3,100,1,3,159
10,10,10,0.5,0.5,3,100,1,1,161
10,10,10,0.5,0.5,3,103,2,3,159
15,10,10,0.5,0.5,3,100,1,4,158
15,10,10,0.5,0.5,3,100,1,1,161
15,10,10,0.5,0.5,3,100,1,2,160
15,10,10,0.5,0.5,3,101,0,1,161
15,10,10,0.5,0.5,3,104,1,3,159
15,10,10,0.5,0.5,3,98,3,4,158
15,10,10,0.5,0.5,3,100,1,1,161
15,10,10,0.5,0.5,3,100,1,2,160
15,10,10,0.5,0.5,3,100,1,2,160
15,10,10,0.5,0.5,3,103,2,3,159
15,10,10,0.5,0.5,3,100,1,4,158
15,10,10,0.5,0.5,3,100,1,1,161
15,10,10,0.5,0.5,3,100,1,2,160
15,10,10,0.5,0.5,3,101,0,2,160
15,10,10,0.5,0.5,3,104,1,3,159
25,10,10,0.5,0.5,3,100,1,3,159
25,10,10,0.5,0.5,3,100,1,2,160
25,10,10,0.5,0.5,3,100,1,3,159
25,10,10,0.5,0.5,3,100,1,2,160
25,10,10,0.5,0.5,3,103,2,3,159
25,10,10,0.5,0.5,3,100,1,4,158
25,10,10,0.5,0.5,3,100,1,2,160
25,10,10,0.5,0.5,3,100,1,3,159
25,10,10,0.5,0.5,3,100,1,2,160
25,10,10,0.5,0.5,3,103,2,2,160
25,10,10,0.5,0.5,3,100,1,3,159
25,10,10,0.5,0.5,3,100,1,1,161
25,10,10,0.5,0.5,3,100,1,3,159
25,10,10,0.5,0.5,3,100,1,2,160
25,10,10,0.5,0.5,3,103,2,3,159
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,104,1,3,159
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,2,160
50,10,10,0.5,0.5,3,103,2,3,159
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,100,1,1,161
