number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,5,4,1,0,0,0,111,24,1,0,0,0,37,88,2,0,0,0,2,30,7,0,0,0,0,2,1,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,116,20,0,0,0,0,27,96,4,0,0,0,0,31,8,0,0,0,0,2,1,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,102,34,0,0,0,0,39,88,0,0,0,0,3,27,9,0,0,0,0,2,1,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,8,2,0,0,0,0,104,32,0,0,0,0,38,86,3,0,0,0,3,27,9,0,0,0,0,2,1,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,106,31,0,0,0,0,33,89,8,0,0,0,5,22,16,0,0,0,0,4,2,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,6,3,1,0,0,0,115,20,1,0,0,0,42,83,2,0,0,0,2,29,8,0,0,0,0,2,1,0
50,10,10,0.5,0.1,3,0,0,0,2,0,0,0,0,7,3,0,0,0,0,116,20,0,0,0,0,27,97,3,0,0,0,0,28,11,0,0,0,0,2,1,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,105,30,1,0,0,0,31,96,0,0,0,0,2,21,16,0,0,0,0,3,0,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,99,36,1,0,0,0,46,79,2,0,0,0,2,27,10,0,0,0,0,2,1,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,113,24,0,0,0,0,34,89,7,0,0,0,3,23,17,0,0,0,0,4,2,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,5,4,1,0,0,0,114,21,1,0,0,0,36,89,2,0,0,0,2,29,8,0,0,0,0,2,1,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,111,24,1,0,0,0,26,98,3,0,0,0,1,28,10,0,0,0,0,2,1,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,100,36,0,0,0,0,32,94,1,0,0,0,4,23,12,0,0,0,0,3,0,0
50,10,10,0.5,0.1,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,98,37,1,0,0,0,38,88,1,0,0,0,3,27,9,0,0,0,0,3,0,0
50,10,10,0.5,0.1,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,111,26,0,0,0,0,31,93,6,0,0,0,6,26,11,0,0,0,0,6,0,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,5,4,1,0,0,0,112,23,1,0,0,0,32,88,7,0,0,0,2,25,12,0,0,0,0,2,1,0
50,10,10,0.5,0.2,3,0,0,0,2,0,0,0,0,7,3,0,0,0,1,113,22,0,0,0,0,31,89,7,0,0,0,1,24,14,0,0,0,0,2,1,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,97,39,0,0,0,0,35,90,2,0,0,0,2,20,17,0,0,0,0,1,2,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,101,34,1,0,0,0,42,80,5,0,0,0,1,29,9,0,0,0,0,3,0,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,11,2,0,0,0,0,110,27,0,0,0,0,31,90,9,0,0,0,5,19,19,0,0,0,0,3,3,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,4,5,1,0,0,0,113,22,1,0,0,0,35,88,4,0,0,0,2,26,11,0,0,0,0,2,1,0
50,10,10,0.5,0.2,3,0,0,0,2,0,0,0,0,6,4,0,0,0,1,113,21,1,0,0,0,28,88,11,0,0,0,1,26,12,0,0,0,0,2,1,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,100,35,1,0,0,0,28,98,1,0,0,0,1,22,16,0,0,0,0,2,1,0
50,10,10,0.5,0.2,3,0,0,1,1,0,0,0,0,8,2,0,0,0,0,105,29,2,0,0,0,44,78,5,0,0,0,1,29,9,0,0,0,0,2,1,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,109,28,0,0,0,0,34,87,9,0,0,0,4,20,19,0,0,0,0,4,2,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,4,5,1,0,0,0,113,22,1,0,0,0,37,88,2,0,0,0,4,24,11,0,0,0,0,2,1,0
50,10,10,0.5,0.2,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,115,20,1,0,0,0,27,93,7,0,0,0,0,23,16,0,0,0,0,2,1,0
50,10,10,0.5,0.2,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,102,34,0,0,0,0,38,86,3,0,0,0,1,20,18,0,0,0,0,2,1,0
50,10,10,0.5,0.2,3,0,0,1,1,0,0,0,0,8,2,0,0,0,0,99,35,2,0,0,0,42,80,5,0,0,0,2,28,9,0,0,0,0,2,1,0
