number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,114,21,1,0,0,0,28,94,5,0,0,0,2,22,15,0,0,0,0,1,2,0
50,10,5,0.5,0.5,3,0,0,0,2,0,0,0,0,6,4,0,0,2,0,111,23,0,0,0,0,30,89,8,0,0,0,1,21,17,0,0,0,0,2,1,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,104,31,1,0,0,0,37,86,4,0,0,0,2,15,22,0,0,0,0,2,1,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,103,32,1,0,0,0,31,86,10,0,0,0,1,23,15,0,0,0,0,1,2,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,111,26,0,0,0,0,25,96,9,0,0,0,4,16,23,0,0,0,0,1,5,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,4,5,1,0,0,0,111,24,1,0,0,0,34,89,4,0,0,0,2,23,14,0,0,0,0,1,2,0
50,10,5,0.5,0.5,3,0,0,0,2,0,0,0,0,7,3,0,0,2,0,111,22,1,0,0,0,33,83,11,0,0,0,1,19,19,0,0,0,0,2,1,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,102,34,0,0,0,0,28,95,4,0,0,0,2,19,18,0,0,0,0,2,1,0
50,10,5,0.5,0.5,3,0,0,1,1,0,0,0,0,8,2,0,0,0,0,100,35,1,0,0,0,39,80,8,0,0,0,3,25,11,0,0,0,0,1,2,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,11,2,0,0,0,0,113,24,0,0,0,0,27,93,10,0,0,0,4,22,17,0,0,0,0,4,2,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,3,6,1,0,0,0,115,20,1,0,0,0,28,94,5,0,0,0,3,22,14,0,0,0,0,1,2,0
50,10,5,0.5,0.5,3,0,0,0,2,0,0,0,0,4,6,0,0,2,0,107,27,0,0,0,0,32,87,8,0,0,0,0,22,17,0,0,0,0,2,1,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,105,30,1,0,0,0,25,99,3,0,0,0,1,17,21,0,0,0,0,1,2,0
50,10,5,0.5,0.5,3,0,1,1,0,0,0,0,0,9,1,0,0,0,0,96,40,0,0,0,0,37,82,8,0,0,0,3,21,15,0,0,0,0,1,2,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,111,26,0,0,0,0,25,94,11,0,0,0,5,16,22,0,0,0,0,2,4,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,5,1,0,0,0,112,23,1,0,0,0,32,93,2,0,0,0,3,21,15,0,0,0,0,2,1,0
50,10,10,0.5,0.5,3,0,0,0,2,0,0,0,0,6,4,0,0,0,2,111,23,0,0,0,0,30,85,12,0,0,0,0,22,17,0,0,0,0,2,1,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,102,34,0,0,0,0,30,93,4,0,0,0,1,17,21,0,0,0,0,1,2,0
